OMS_SKU,OMS_Inventory,Buffer_Stock,Amazon_Inventory,FBA_InTransit,Myntra_Other_Inventory,Flipkart_Inventory,Marketplace_Total,Total_Inventory,Manual_InTransit,Not_In_Inventory_Qty,Sold_Units,Return_Units,Net_Units,Return_Overlay_Units,Ship_Units_150d,Lead_Time_Days,PO_Block_Reason,Eff_Days,Eff_Days_Inventory,Inv_Coverage_Days,Recent_ADS,Flat30_ADS,LY_Sold_Units,LY_Net_Units,LY_ADS,Seasonal_Month_ADS,ADS,Gross_PO_Qty,PO_Pipeline_Total,PO_Qty_Ordered,Pending_Cutting,Balance_to_Dispatch,Days_Left,SKU_Sheet_Status,SKU_Sheet_Closed,Lead_Time_From_Status_Sheet,PO_Confirmed_Raise_Pipeline,PO_Raised_Yesterday,PO_Raised_Today,PO_Last_Raised_Qty,PO_Raised_On_View_Date,PO_Last_Raised_Date,PO_Pipeline_Effective,PO_Qty,Stockout_Flag,Priority,Parent_SKU,Cutting_Ratio,Projected_Running_Days,Post_PO_Cover_Days_Capped,Suggest_Close_SKU,Bundle_Size,Cutting_Source,Cut_From_Siblings,PO_Cutting_Note,Oct-Dec 2024,Jan-Mar 2025,Apr-Jun 2025,Jul-Sep 2025,Oct-Dec 2025,Jan-Mar 2026,Apr-Jun 2026,Jul-Sep 2026
1942YKMULTI-S,9.0,2.0,4.0,0.0,0.0,0.0,4.0,13.0,0,0,3,0.0,3,0,8,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,28.0,28,28,0.107,0.1,0.0,0.0,0.0,0.0,0.107,0,0,0,0,0,121.5,High selling,False,True,0,0,0,0,0,,0,0,,⚪ OK,1942YKMULTI,0.0,121.5,121.5,,,,,,0,0,0,0,2,4,5,2
1942YKMULTI-XL,8.0,5.0,15.0,0.0,0.0,0.0,15.0,23.0,0,0,15,1.0,14,0,71,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,13.0,13,28,1.154,0.5,0.0,0.0,0.0,0.0,0.5,0,63,0,60,3,46.0,High selling,False,True,0,0,0,0,0,,63,0,,🔄 In Pipeline,1942YKMULTI,0.0,172.0,172.0,,,,,,0,0,0,0,17,41,41,7
1942YKMULTI-XXL,3.0,3.0,3.0,0.0,0.0,0.0,5.0,8.0,2,0,14,0.0,14,0,95,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,29.0,0,28,0.483,0.467,0.0,0.0,0.0,0.0,0.467,0,60,0,60,0,17.1,High selling,False,True,0,0,0,0,0,,60,0,,🔄 In Pipeline,1942YKMULTI,0.0,145.6,145.6,,,,,,0,0,0,0,24,49,63,4
1943YKGREEN-3XL,0.0,0.0,3.0,0.0,0.0,0.0,5.0,5.0,2,0,16,0.0,16,0,142,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,25.0,0,28,0.64,0.533,0.0,0.0,0.0,0.0,0.533,0,152,0,119,33,9.4,High selling,False,True,0,0,0,0,0,,152,0,,🔄 In Pipeline,1943YKGREEN,0.0,294.6,294.6,,,,,,0,0,0,0,37,51,101,14
1943YKGREEN-4XL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,22,2.0,20,0,120,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,1.0,1,28,22.0,0.733,0.0,0.0,0.0,0.0,0.733,0,101,0,39,62,1.4,High selling,False,True,0,0,0,0,0,,101,0,,🔄 In Pipeline,1943YKGREEN,0.0,139.2,139.2,,,,,,0,0,0,0,36,43,74,13
1943YKGREEN-5XL,3.0,3.0,7.0,0.0,0.0,0.0,7.0,10.0,0,0,33,0.0,33,0,176,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,30.0,0,28,1.1,1.1,0.0,0.0,0.0,0.0,1.1,0,71,0,46,25,9.1,High selling,False,True,0,0,0,0,0,,71,0,,🔄 In Pipeline,1943YKGREEN,0.0,73.6,73.6,,,,,,0,0,0,0,46,55,128,20
1943YKGREEN-L,10.0,4.0,1.0,0.0,0.0,0.0,1.0,11.0,0,0,8,0.0,8,0,39,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,28.0,28,28,0.286,0.267,0.0,0.0,0.0,0.0,0.267,0,37,0,30,7,41.2,High selling,False,True,0,0,0,0,0,,37,0,,🔄 In Pipeline,1943YKGREEN,0.0,179.8,179.8,,,,,,0,0,0,0,12,21,18,5
1943YKGREEN-M,23.0,4.0,11.0,0.0,0.0,0.0,11.0,34.0,0,0,4,0.0,4,0,19,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,28.0,28,28,0.143,0.133,0.0,0.0,0.0,0.0,0.143,0,10,0,10,0,237.8,High selling,False,True,0,0,0,0,0,,10,0,,🔄 In Pipeline,1943YKGREEN,0.0,307.7,307.7,,,,,,0,0,0,0,7,12,9,1
1943YKGREEN-S,20.0,2.0,3.0,0.0,0.0,0.0,3.0,23.0,0,0,2,0.0,2,0,6,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,28.0,28,28,0.071,0.067,0.0,0.0,0.0,0.0,0.071,0,1,0,0,1,323.9,High selling,False,True,0,0,0,0,0,,1,0,,🔄 In Pipeline,1943YKGREEN,0.0,338.0,338.0,,,,,,0,0,0,0,2,2,5,1
1943YKGREEN-XL,17.0,6.0,29.0,0.0,0.0,0.0,29.0,46.0,0,0,13,0.0,13,0,73,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,16.0,16,28,0.812,0.433,0.0,0.0,0.0,0.0,0.433,0,0,0,0,0,106.2,High selling,False,True,0,0,0,0,0,,0,0,,⚪ OK,1943YKGREEN,0.0,106.2,106.2,,,,,,0,0,0,0,15,47,42,6
1943YKGREEN-XXL,5.0,5.0,16.0,0.0,0.0,0.0,19.0,24.0,3,0,23,1.0,22,0,110,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,10.0,10,28,2.3,0.767,0.0,0.0,0.0,0.0,0.767,0,160,0,150,10,31.3,High selling,False,True,0,0,0,0,0,,160,0,,🔄 In Pipeline,1943YKGREEN,0.0,239.9,239.9,,,,,,0,0,0,0,27,47,76,8
1946YKGREEN-3XL,39.0,3.0,0.0,0.0,0.0,0.0,77.0,116.0,10,67,85,1.0,84,0,341,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,1.0,1,28,85.0,2.7,0.0,0.0,0.0,0.0,2.833,0,69,0,0,69,40.9,High selling,False,True,0,0,0,0,0,,69,0,,🔄 In Pipeline,1946YKGREEN,0.0,65.3,65.3,,,,,,0,0,0,0,42,187,184,21
1946YKGREEN-4XL,0.0,0.0,0.0,0.0,0.0,0.0,37.0,37.0,0,37,39,0.0,39,0,250,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,30.0,0,28,1.3,1.267,0.0,0.0,0.0,0.0,1.3,0,212,0,0,212,28.5,High selling,False,True,0,0,0,0,0,,212,0,,🔄 In Pipeline,1946YKGREEN,0.0,191.5,191.5,,,,,,0,0,0,0,33,141,137,16
1946YKGREEN-5XL,1.0,0.0,5.0,0.0,0.0,0.0,38.0,39.0,0,33,51,0.0,51,0,353,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,0.0,0,28,0.0,1.667,0.0,0.0,0.0,0.0,1.667,0,271,0,0,271,23.4,High selling,False,True,0,0,0,0,0,,271,0,,🔄 In Pipeline,1946YKGREEN,0.0,186.0,186.0,,,,,,0,0,0,0,35,197,200,14
1946YKGREEN-6XL,8.0,5.0,5.0,0.0,0.0,0.0,18.0,26.0,0,13,35,0.0,35,0,209,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,7.0,7,28,5.0,1.133,0.0,0.0,0.0,0.0,1.167,0,69,0,0,69,22.3,High selling,False,True,0,0,0,0,0,,69,0,,🔄 In Pipeline,1946YKGREEN,0.0,81.4,81.4,,,,,,0,0,0,0,17,121,121,16
1946YKGREEN-7XL,2.0,1.0,1.0,0.0,0.0,0.0,31.0,33.0,14,16,18,1.0,17,0,120,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,7.0,7,28,2.571,0.567,0.0,0.0,0.0,0.0,0.6,0,189,0,0,189,55.0,High selling,False,True,0,0,0,0,0,,189,0,,🔄 In Pipeline,1946YKGREEN,0.0,370.0,370.0,,,,,,0,0,0,0,12,70,72,6
1946YKGREEN-8XL,57.0,5.0,4.0,0.0,0.0,0.0,25.0,82.0,0,21,45,0.0,45,0,146,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,20.0,20,28,2.25,1.433,0.0,0.0,0.0,0.0,1.5,0,8,0,0,8,54.7,High selling,False,True,0,0,0,0,0,,8,0,,🔄 In Pipeline,1946YKGREEN,0.0,60.0,60.0,,,,,,0,0,0,0,20,80,84,11
1946YKGREEN-L,48.0,16.0,40.0,0.0,0.0,0.0,75.0,123.0,0,35,87,4.0,83,0,519,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,7.0,7,28,12.429,2.7,0.0,0.0,0.0,0.0,2.9,0,185,0,0,185,42.4,High selling,False,True,0,0,0,0,0,,185,0,,🔄 In Pipeline,1946YKGREEN,0.0,106.2,106.2,,,,,,0,0,0,0,33,275,280,29
1946YKGREEN-M,9.0,3.0,16.0,0.0,0.0,0.0,52.0,61.0,0,36,49,2.0,47,0,364,45,Only 1 size in parent SKU has demand — recommend altering this SKU to another size before raising PO,8.0,8,28,6.125,1.5,0.0,0.0,0.0,0.0,1.633,0,14,0,0,14,37.4,High selling,False,True,0,0,0,0,0,,14,0,,🔄 In Pipeline,1946YKGREEN,0.0,45.9,45.9,,,,,,0,0,0,0,11,199,207,9
1946YKGREEN-S,13.0,3.0,2.0,0.0,0.0,0.0,20.0,33.0,4,14,10,1.0,9,0,108,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,21.0,21,28,0.476,0.333,0.0,0.0,0.0,0.0,0.333,0,37,0,0,37,99.1,High selling,False,True,0,0,0,0,0,,37,0,,🔄 In Pipeline,1946YKGREEN,0.0,210.2,210.2,,,,,,0,0,0,0,10,88,37,7
1946YKGREEN-XL,4.0,3.0,8.0,0.0,0.0,0.0,59.0,63.0,0,51,59,1.0,58,0,472,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,1.0,1,28,59.0,1.867,0.0,0.0,0.0,0.0,1.967,0,502,0,0,502,32.0,High selling,False,True,0,0,0,0,0,,502,0,,🔄 In Pipeline,1946YKGREEN,0.0,287.2,287.2,,,,,,0,0,0,0,42,267,257,31
1946YKGREEN-XS,11.0,2.0,4.0,0.0,0.0,0.0,6.0,17.0,2,0,14,0.0,14,0,92,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,22.0,22,28,0.636,0.433,0.0,0.0,0.0,0.0,0.467,0,36,0,0,36,36.4,High selling,False,True,0,0,0,0,0,,36,0,,🔄 In Pipeline,1946YKGREEN,0.0,113.5,113.5,,,,,,0,0,0,0,0,47,51,2
1946YKGREEN-XXL,3.0,3.0,44.0,0.0,0.0,0.0,69.0,72.0,0,25,71,3.0,68,0,492,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,2.0,2,28,35.5,2.233,0.0,0.0,0.0,0.0,2.367,0,425,0,0,425,30.4,High selling,False,True,0,0,0,0,0,,425,0,,🔄 In Pipeline,1946YKGREEN,0.0,210.0,210.0,,,,,,0,0,0,0,47,292,266,27
1947YKGREEN-3XL,2.0,2.0,0.0,0.0,0.0,0.0,32.0,34.0,2,30,4,0.0,4,0,59,45,,10.0,10,28,0.4,0.133,0.0,0.0,0.0,0.0,0.4,30,14,0,0,14,85.0,New SKU,False,True,0,0,0,0,0,,14,30,,🟡 HIGH,1947YKGREEN,0.0,120.0,195.0,,,,,,0,0,0,0,0,33,32,0
1947YKGREEN-4XL,17.0,7.0,2.0,0.0,0.0,0.0,2.0,19.0,0,0,11,0.0,11,0,40,45,,28.0,28,28,0.393,0.367,0.0,0.0,0.0,0.0,0.367,50,0,0,0,0,51.8,New SKU,False,True,0,0,0,0,0,,0,50,,🟢 MEDIUM,1947YKGREEN,0.556,51.8,188.0,,,,,,0,0,0,0,0,17,21,8
1947YKGREEN-5XL,3.0,2.0,1.0,0.0,0.0,0.0,52.0,55.0,4,47,9,0.0,9,0,61,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,4.0,4,28,2.25,0.267,0.0,0.0,0.0,0.0,0.3,0,1,0,0,1,183.3,New SKU,False,True,0,0,0,0,0,,1,0,,🔄 In Pipeline,1947YKGREEN,0.0,186.7,186.7,,,,,,0,0,0,0,0,42,29,3
1947YKGREEN-6XL,6.0,4.0,5.0,0.0,0.0,0.0,8.0,14.0,0,3,3,1.0,2,0,30,45,Projected cover exceeds entered lead time — no PO until cover is within lead days,28.0,28,28,0.107,0.1,0.0,0.0,0.0,0.0,0.107,0,15,0,0,15,130.8,New SKU,False,True,0,0,0,0,0,,15,0,,🔄 In Pipeline,1947YKGREEN,0.0,271.0,271.0,,,,,,0,0,0,0,0,19,14,1
1947YKGREEN-7XL,18.0,4.0,4.0,0.0,0.0,0.0,4.0,22.0,0,0,5,0.0,5,0,13,45,,28.0,28,28,0.179,0.167,0.0,0.0,0.0,0.0,0.179,20,0,0,0,0,122.9,New SKU,False,True,0,0,0,0,0,,0,20,,🟡 HIGH,1947YKGREEN,0.0,122.9,234.6,,,,,,0,0,0,0,0,9,9,3
1947YKGREEN-8XL,12.0,5.0,3.0,0.0,0.0,0.0,6.0,18.0,0,3,5,0.0,5,0,24,45,,28.0,28,28,0.179,0.167,0.0,0.0,0.0,0.0,0.179,20,0,0,0,0,100.6,New SKU,False,True,0,0,0,0,0,,0,20,,🟡 HIGH,1947YKGREEN,0.0,100.6,212.3,,,,,,0,0,0,0,0,11,13,3
