OMS_SKU,OMS_Inventory,Buffer_Stock,Amazon_Inventory,Myntra_Other_Inventory,Flipkart_Inventory,Marketplace_Total,Total_Inventory,Manual_InTransit,Not_In_Inventory_Qty
1018YKBROWN-L,5.0,4.0,0.0,0.0,0.0,0.0,5.0,0,0
1018YKBROWN-M,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0,0
1018YKBROWN-S,5.0,3.0,0.0,0.0,0.0,0.0,5.0,0,0
1023YKPBLUE-3XL,129.0,11.0,35.0,1.0,0.0,57.0,186.0,0,21
1023YKPBLUE-4XL,71.0,10.0,14.0,1.0,1.0,29.0,100.0,0,13
1023YKPBLUE-5XL,120.0,8.0,6.0,0.0,0.0,46.0,166.0,6,34
1023YKPBLUE-6XL,49.0,3.0,8.0,0.0,0.0,24.0,73.0,2,14
1023YKPBLUE-7XL,53.0,4.0,3.0,0.0,0.0,10.0,63.0,2,5
1023YKPBLUE-8XL,56.0,6.0,2.0,0.0,0.0,7.0,63.0,0,5
1023YKPBLUE-L,469.0,20.0,75.0,0.0,0.0,85.0,554.0,10,0
1023YKPBLUE-M,284.0,19.0,91.0,0.0,0.0,109.0,393.0,0,18
1023YKPBLUE-S,474.0,20.0,46.0,0.0,0.0,46.0,520.0,0,0
1023YKPBLUE-XL,319.0,24.0,39.0,0.0,0.0,39.0,358.0,0,0
1023YKPBLUE-XS,121.0,10.0,34.0,0.0,1.0,42.0,163.0,0,7
1023YKPBLUE-XXL,216.0,9.0,41.0,0.0,1.0,71.0,287.0,0,29
1024YKMUSTARD-3XL,17.0,15.0,8.0,0.0,0.0,8.0,25.0,0,0
1024YKMUSTARD-4XL,2.0,2.0,4.0,0.0,0.0,7.0,9.0,3,0
1024YKMUSTARD-5XL,0.0,1.0,4.0,0.0,0.0,8.0,8.0,4,0
1024YKMUSTARD-6XL,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
1024YKMUSTARD-L,34.0,7.0,6.0,0.0,0.0,6.0,40.0,0,0
1024YKMUSTARD-M,20.0,6.0,7.0,0.0,0.0,7.0,27.0,0,0
1024YKMUSTARD-S,14.0,5.0,2.0,0.0,0.0,2.0,16.0,0,0
1024YKMUSTARD-XL,5.0,4.0,2.0,0.0,0.0,4.0,9.0,2,0
1024YKMUSTARD-XS,9.0,3.0,1.0,0.0,0.0,1.0,10.0,0,0
1024YKMUSTARD-XXL,40.0,15.0,10.0,6.0,0.0,16.0,56.0,0,0
1025YKSKY-S,4.0,3.0,0.0,0.0,0.0,0.0,4.0,0,0
1034YKTEAL-3XL,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
1034YKTEAL-4XL,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0,0
1034YKTEAL-5XL,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
1034YKTEAL-L,22.0,7.0,12.0,0.0,1.0,13.0,35.0,0,0
1034YKTEAL-M,37.0,4.0,9.0,0.0,0.0,9.0,46.0,0,0
1034YKTEAL-S,2.0,1.0,2.0,0.0,0.0,2.0,4.0,0,0
1034YKTEAL-XL,3.0,2.0,11.0,0.0,0.0,16.0,19.0,5,0
1034YKTEAL-XS,6.0,4.0,2.0,0.0,0.0,4.0,10.0,2,0
1034YKTEAL-XXL,18.0,6.0,11.0,0.0,0.0,11.0,29.0,0,0
1035YKMAROON-S,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
1037DPT19WHITE-3XL,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0,0
1037DPT19WHITE-5XL,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0
1037DPT19WHITE-S,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,0
1037DPT19WHITE-XXL,0.0,0.0,0.0,3.0,0.0,3.0,3.0,0,0
1037YKBLUE-3XL,93.0,12.0,24.0,0.0,0.0,24.0,117.0,0,0
1037YKBLUE-4XL,11.0,11.0,10.0,0.0,0.0,10.0,21.0,0,0
1037YKBLUE-5XL,118.0,10.0,26.0,0.0,1.0,27.0,145.0,0,0
1037YKBLUE-6XL,13.0,5.0,2.0,0.0,0.0,2.0,15.0,0,0
1037YKBLUE-7XL,3.0,3.0,4.0,0.0,0.0,4.0,7.0,0,0
1037YKBLUE-8XL,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0,0
1037YKBLUE-L,7.0,4.0,5.0,0.0,0.0,5.0,12.0,0,0
1037YKBLUE-M,5.0,2.0,7.0,0.0,0.0,7.0,12.0,0,0
1037YKBLUE-S,79.0,6.0,5.0,0.0,0.0,5.0,84.0,0,0
1037YKBLUE-XL,18.0,4.0,0.0,0.0,0.0,0.0,18.0,0,0
1037YKBLUE-XS,35.0,7.0,2.0,0.0,0.0,2.0,37.0,0,0
1037YKBLUE-XXL,27.0,9.0,21.0,11.0,0.0,32.0,59.0,0,0
1043YKMAROON-3XL,4.0,4.0,61.0,0.0,0.0,63.0,67.0,2,0
1043YKMAROON-4XL,24.0,9.0,51.0,0.0,0.0,51.0,75.0,0,0
1043YKMAROON-5XL,12.0,8.0,20.0,0.0,0.0,20.0,32.0,0,0
1043YKMAROON-6XL,19.0,7.0,16.0,0.0,0.0,16.0,35.0,0,0
1043YKMAROON-7XL,11.0,4.0,5.0,0.0,0.0,7.0,18.0,2,0
1043YKMAROON-8XL,18.0,8.0,10.0,3.0,0.0,13.0,31.0,0,0
1043YKMAROON-L,151.0,22.0,189.0,4.0,1.0,194.0,345.0,0,0
1043YKMAROON-M,63.0,16.0,119.0,0.0,0.0,119.0,182.0,0,0
1043YKMAROON-S,28.0,8.0,35.0,0.0,1.0,36.0,64.0,0,0
1043YKMAROON-XL,70.0,20.0,157.0,3.0,1.0,161.0,231.0,0,0
1043YKMAROON-XS,13.0,8.0,26.0,1.0,0.0,27.0,40.0,0,0
1043YKMAROON-XXL,62.0,17.0,86.0,3.0,0.0,89.0,151.0,0,0
1044YKRUST-3XL,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
1046YKBLUE-L,25.0,7.0,11.0,0.0,0.0,11.0,36.0,0,0
1046YKBLUE-M,10.0,7.0,8.0,0.0,0.0,8.0,18.0,0,0
1046YKBLUE-S,26.0,5.0,3.0,0.0,0.0,3.0,29.0,0,0
1046YKBLUE-XL,7.0,7.0,21.0,0.0,0.0,25.0,32.0,4,0
1046YKBLUE-XS,18.0,7.0,2.0,0.0,0.0,4.0,22.0,2,0
1046YKBLUE-XXL,11.0,8.0,19.0,0.0,0.0,27.0,38.0,8,0
1047YKBLUISHEGREY-L,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
1047YKBLUISHEGREY-M,13.0,7.0,1.0,0.0,0.0,1.0,14.0,0,0
1047YKBLUISHEGREY-S,20.0,8.0,1.0,0.0,0.0,1.0,21.0,0,0
1047YKBLUISHEGREY-XL,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
1047YKBLUISHEGREY-XS,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0,0
1048YKBLUE-3XL,6.0,6.0,59.0,15.0,0.0,80.0,86.0,3,3
1048YKBLUE-4XL,41.0,10.0,26.0,4.0,0.0,33.0,74.0,2,1
1048YKBLUE-5XL,30.0,11.0,32.0,5.0,0.0,55.0,85.0,18,0
1048YKBLUE-6XL,8.0,6.0,8.0,8.0,0.0,18.0,26.0,2,0
1048YKBLUE-7XL,6.0,5.0,12.0,9.0,0.0,23.0,29.0,2,0
1048YKBLUE-8XL,23.0,5.0,1.0,8.0,2.0,13.0,36.0,2,0
1048YKBLUE-L,15.0,14.0,41.0,8.0,0.0,52.0,67.0,3,0
1048YKBLUE-M,38.0,11.0,45.0,6.0,0.0,61.0,99.0,10,0
1048YKBLUE-S,7.0,6.0,11.0,6.0,1.0,20.0,27.0,2,0
1048YKBLUE-XL,3.0,3.0,33.0,7.0,0.0,46.0,49.0,6,0
1048YKBLUE-XS,66.0,6.0,6.0,6.0,0.0,14.0,80.0,2,0
1048YKBLUE-XXL,41.0,15.0,83.0,9.0,0.0,96.0,137.0,3,1
1049YKMAROON-XL,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0,0
1050YKBLUE-3XL,27.0,2.0,2.0,0.0,1.0,3.0,30.0,0,0
1050YKBLUE-4XL,36.0,3.0,15.0,0.0,1.0,16.0,52.0,0,0
1050YKBLUE-5XL,13.0,5.0,6.0,0.0,0.0,6.0,19.0,0,0
1050YKBLUE-L,19.0,6.0,13.0,0.0,1.0,19.0,38.0,4,1
1050YKBLUE-M,44.0,6.0,7.0,0.0,0.0,24.0,68.0,0,17
1050YKBLUE-S,17.0,6.0,5.0,0.0,1.0,6.0,23.0,0,0
1050YKBLUE-XL,49.0,5.0,13.0,0.0,1.0,14.0,63.0,0,0
1050YKBLUE-XS,14.0,2.0,0.0,0.0,0.0,0.0,14.0,0,0
1050YKBLUE-XXL,21.0,4.0,7.0,0.0,0.0,13.0,34.0,4,2
1051YKMAROON-3XL,5.0,5.0,6.0,0.0,0.0,6.0,11.0,0,0
1051YKMAROON-4XL,2.0,2.0,0.0,0.0,1.0,1.0,3.0,0,0
1051YKMAROON-5XL,4.0,4.0,2.0,0.0,0.0,2.0,6.0,0,0
1051YKMAROON-6XL,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0
1051YKMAROON-7XL,9.0,3.0,1.0,0.0,0.0,1.0,10.0,0,0
1051YKMAROON-8XL,4.0,3.0,0.0,0.0,0.0,0.0,4.0,0,0
1051YKMAROON-L,35.0,10.0,1.0,0.0,0.0,6.0,41.0,4,1
1051YKMAROON-M,7.0,5.0,7.0,0.0,0.0,15.0,22.0,8,0
1051YKMAROON-S,5.0,4.0,1.0,0.0,0.0,1.0,6.0,0,0
1051YKMAROON-XL,11.0,3.0,4.0,0.0,0.0,4.0,15.0,0,0
1051YKMAROON-XS,13.0,3.0,1.0,0.0,0.0,1.0,14.0,0,0
1051YKMAROON-XXL,5.0,5.0,7.0,0.0,0.0,7.0,12.0,0,0
1052YKGREEN-3XL,9.0,5.0,5.0,0.0,0.0,5.0,14.0,0,0
1052YKGREEN-4XL,16.0,6.0,3.0,0.0,0.0,3.0,19.0,0,0
1052YKGREEN-L,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
1052YKGREEN-M,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0,0
1052YKGREEN-S,16.0,3.0,1.0,0.0,0.0,1.0,17.0,0,0
1052YKGREEN-XL,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0,0
1052YKGREEN-XS,25.0,3.0,0.0,0.0,0.0,0.0,25.0,0,0
1052YKGREEN-XXL,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
1053YKMAROON-M,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
1053YKMAROON-S,7.0,5.0,0.0,0.0,0.0,0.0,7.0,0,0
1055YKGREEN-3XL,9.0,2.0,2.0,0.0,0.0,2.0,11.0,0,0
1055YKGREEN-4XL,7.0,3.0,0.0,0.0,0.0,0.0,7.0,0,0
1055YKGREEN-5XL,10.0,3.0,5.0,0.0,0.0,6.0,16.0,0,1
1055YKGREEN-L,9.0,11.0,18.0,0.0,0.0,26.0,35.0,8,0
1055YKGREEN-M,12.0,8.0,24.0,0.0,9.0,41.0,53.0,8,0
1055YKGREEN-S,12.0,7.0,16.0,0.0,4.0,26.0,38.0,6,0
1055YKGREEN-XL,21.0,7.0,8.0,0.0,0.0,16.0,37.0,8,0
1055YKGREEN-XS,16.0,6.0,4.0,3.0,0.0,13.0,29.0,6,0
1055YKGREEN-XXL,18.0,5.0,13.0,0.0,0.0,22.0,40.0,8,1
1057KDBLUE-11-12,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
1057KDBLUE-7-8,20.0,5.0,0.0,0.0,0.0,0.0,20.0,0,0
1057KDBLUE-9-10,7.0,3.0,0.0,0.0,0.0,0.0,7.0,0,0
1057YKBLUE-3XL,117.0,6.0,14.0,9.0,7.0,33.0,150.0,3,0
1057YKBLUE-4XL,128.0,7.0,4.0,9.0,6.0,22.0,150.0,3,0
1057YKBLUE-5XL,105.0,5.0,3.0,9.0,2.0,17.0,122.0,3,0
1057YKBLUE-6XL,14.0,4.0,5.0,0.0,0.0,7.0,21.0,2,0
1057YKBLUE-7XL,27.0,4.0,3.0,0.0,1.0,4.0,31.0,0,0
1057YKBLUE-8XL,23.0,5.0,5.0,0.0,0.0,5.0,28.0,0,0
1057YKBLUE-L,446.0,11.0,5.0,4.0,11.0,22.0,468.0,2,0
1057YKBLUE-M,646.0,11.0,7.0,4.0,1.0,14.0,660.0,2,0
1057YKBLUE-S,391.0,13.0,6.0,5.0,14.0,27.0,418.0,2,0
1057YKBLUE-XL,412.0,12.0,10.0,6.0,9.0,28.0,440.0,3,0
1057YKBLUE-XS,165.0,10.0,5.0,6.0,10.0,23.0,188.0,2,0
1057YKBLUE-XXL,116.0,13.0,12.0,6.0,4.0,24.0,140.0,2,0
1059YKMUSTARD-3XL,13.0,9.0,4.0,0.0,0.0,8.0,21.0,4,0
1059YKMUSTARD-4XL,15.0,9.0,11.0,0.0,0.0,22.0,37.0,11,0
1059YKMUSTARD-5XL,9.0,6.0,5.0,0.0,0.0,5.0,14.0,0,0
1059YKMUSTARD-6XL,10.0,4.0,3.0,0.0,0.0,3.0,13.0,0,0
1059YKMUSTARD-7XL,20.0,4.0,4.0,0.0,0.0,4.0,24.0,0,0
1059YKMUSTARD-8XL,6.0,3.0,1.0,0.0,0.0,1.0,7.0,0,0
1059YKMUSTARD-L,23.0,14.0,15.0,1.0,0.0,22.0,45.0,6,0
1059YKMUSTARD-M,41.0,7.0,12.0,0.0,0.0,16.0,57.0,4,0
1059YKMUSTARD-S,7.0,6.0,0.0,0.0,0.0,1.0,8.0,0,1
1059YKMUSTARD-XL,9.0,5.0,11.0,0.0,0.0,14.0,23.0,2,1
1059YKMUSTARD-XS,0.0,0.0,9.0,0.0,0.0,17.0,17.0,8,0
1059YKMUSTARD-XXL,3.0,3.0,4.0,0.0,0.0,8.0,11.0,4,0
105YK224BLACK-M,6.0,4.0,0.0,0.0,0.0,0.0,6.0,0,0
105YK224BLACK-S,15.0,5.0,0.0,0.0,0.0,0.0,15.0,0,0
1060YKBEIGE-3XL,45.0,6.0,19.0,5.0,0.0,29.0,74.0,5,0
1060YKBEIGE-4XL,26.0,4.0,11.0,5.0,0.0,18.0,44.0,2,0
1060YKBEIGE-5XL,44.0,7.0,8.0,3.0,0.0,21.0,65.0,10,0
1060YKBEIGE-L,26.0,7.0,11.0,2.0,0.0,15.0,41.0,2,0
1060YKBEIGE-M,54.0,5.0,22.0,4.0,0.0,36.0,90.0,10,0
1060YKBEIGE-S,14.0,3.0,11.0,6.0,0.0,19.0,33.0,2,0
1060YKBEIGE-XL,44.0,9.0,32.0,0.0,0.0,37.0,81.0,5,0
1060YKBEIGE-XS,39.0,9.0,0.0,0.0,0.0,0.0,39.0,0,0
1060YKBEIGE-XXL,31.0,10.0,26.0,0.0,0.0,32.0,63.0,6,0
1061YKBLUE-3XL,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
1061YKBLUE-4XL,0.0,0.0,1.0,0.0,0.0,3.0,3.0,2,0
1061YKBLUE-5XL,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0,0
1061YKBLUE-7XL,4.0,2.0,2.0,0.0,0.0,2.0,6.0,0,0
1061YKBLUE-8XL,3.0,2.0,1.0,0.0,0.0,1.0,4.0,0,0
1061YKBLUE-M,4.0,2.0,0.0,0.0,0.0,0.0,4.0,0,0
1061YKBLUE-S,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0,0
1061YKBLUE-XL,1.0,0.0,0.0,0.0,0.0,2.0,3.0,2,0
1061YKBLUE-XXL,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
1062YKSKYBLUE-S,23.0,7.0,5.0,0.0,0.0,5.0,28.0,0,0
1063YKRED-L,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0,0
1063YKRED-M,4.0,4.0,1.0,0.0,0.0,1.0,5.0,0,0
1063YKRED-S,37.0,11.0,5.0,0.0,0.0,5.0,42.0,0,0
1063YKRED-XL,3.0,4.0,0.0,0.0,0.0,0.0,3.0,0,0
1063YKRED-XS,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
1063YKRED-XXL,0.0,1.0,3.0,0.0,0.0,8.0,8.0,5,0
1064YKBLUE-S,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
1065KDBLUE-11-12,4.0,3.0,0.0,0.0,0.0,0.0,4.0,0,0
1065KDBLUE-7-8,22.0,6.0,0.0,0.0,0.0,0.0,22.0,0,0
1065KDBLUE-9-10,13.0,4.0,1.0,0.0,0.0,1.0,14.0,0,0
1065YKBLUE-3XL,96.0,7.0,33.0,0.0,0.0,33.0,129.0,0,0
1065YKBLUE-4XL,111.0,9.0,21.0,0.0,0.0,28.0,139.0,0,7
1065YKBLUE-5XL,98.0,9.0,25.0,0.0,0.0,25.0,123.0,0,0
1065YKBLUE-6XL,35.0,3.0,6.0,0.0,0.0,6.0,41.0,0,0
1065YKBLUE-7XL,56.0,3.0,4.0,0.0,0.0,4.0,60.0,0,0
1065YKBLUE-8XL,32.0,3.0,12.0,0.0,0.0,12.0,44.0,0,0
1065YKBLUE-L,129.0,8.0,47.0,0.0,7.0,54.0,183.0,0,0
1065YKBLUE-M,99.0,11.0,33.0,0.0,0.0,33.0,132.0,0,0
1065YKBLUE-S,33.0,6.0,8.0,0.0,1.0,10.0,43.0,0,1
1065YKBLUE-XL,125.0,6.0,70.0,0.0,0.0,70.0,195.0,0,0
1065YKBLUE-XS,4.0,4.0,10.0,0.0,0.0,10.0,14.0,0,0
1065YKBLUE-XXL,63.0,10.0,47.0,17.0,1.0,82.0,145.0,0,17
1066KDYELLOW-11-12,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
1066KDYELLOW-13-14,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
1066KDYELLOW-9-10,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
1066YKYELLOW-3XL,6.0,4.0,0.0,0.0,0.0,0.0,6.0,0,0
1066YKYELLOW-L,9.0,7.0,6.0,0.0,0.0,13.0,22.0,7,0
1066YKYELLOW-M,25.0,9.0,48.0,0.0,0.0,48.0,73.0,0,0
1066YKYELLOW-S,5.0,3.0,2.0,0.0,0.0,8.0,13.0,6,0
1066YKYELLOW-XL,11.0,11.0,14.0,0.0,0.0,24.0,35.0,10,0
1066YKYELLOW-XS,4.0,2.0,0.0,0.0,0.0,0.0,4.0,0,0
1066YKYELLOW-XXL,16.0,5.0,16.0,0.0,0.0,25.0,41.0,9,0
