OMS_SKU,OMS_Inventory,Buffer_Stock,Amazon_Inventory,Myntra_Other_Inventory,Flipkart_Inventory,Marketplace_Total,Total_Inventory,Manual_InTransit,Not_In_Inventory_Qty
1318YKYELLOW-S,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
1320YKMUSTARD-3XL,11.0,7.0,22.0,0.0,2.0,24.0,35.0,0,0
1320YKMUSTARD-4XL,7.0,5.0,16.0,0.0,0.0,18.0,25.0,2,0
1320YKMUSTARD-5XL,9.0,9.0,19.0,0.0,0.0,23.0,32.0,4,0
1320YKMUSTARD-L,21.0,6.0,12.0,0.0,0.0,12.0,33.0,0,0
1320YKMUSTARD-M,6.0,6.0,6.0,0.0,0.0,8.0,14.0,2,0
1320YKMUSTARD-S,6.0,4.0,2.0,0.0,0.0,2.0,8.0,0,0
1320YKMUSTARD-XL,0.0,0.0,6.0,0.0,0.0,10.0,10.0,4,0
1320YKMUSTARD-XS,6.0,3.0,0.0,0.0,1.0,1.0,7.0,0,0
1320YKMUSTARD-XXL,2.0,0.0,3.0,0.0,0.0,7.0,9.0,4,0
1323YKTEAL-3XL,10.0,9.0,22.0,0.0,0.0,22.0,32.0,0,0
1323YKTEAL-4XL,11.0,9.0,20.0,0.0,2.0,22.0,33.0,0,0
1323YKTEAL-5XL,16.0,7.0,23.0,0.0,0.0,23.0,39.0,0,0
1323YKTEAL-6XL,6.0,5.0,3.0,3.0,0.0,14.0,20.0,8,0
1323YKTEAL-7XL,6.0,5.0,3.0,4.0,0.0,12.0,18.0,5,0
1323YKTEAL-8XL,11.0,3.0,12.0,1.0,0.0,27.0,38.0,14,0
1323YKTEAL-L,4.0,4.0,2.0,0.0,0.0,2.0,6.0,0,0
1323YKTEAL-M,26.0,6.0,7.0,0.0,0.0,7.0,33.0,0,0
1323YKTEAL-S,33.0,7.0,9.0,0.0,0.0,9.0,42.0,0,0
1323YKTEAL-XL,24.0,7.0,16.0,0.0,1.0,19.0,43.0,2,0
1323YKTEAL-XS,19.0,4.0,3.0,0.0,0.0,3.0,22.0,0,0
1323YKTEAL-XXL,91.0,12.0,20.0,15.0,0.0,35.0,126.0,0,0
1325YKMULTI-3XL,9.0,7.0,1.0,0.0,0.0,1.0,10.0,0,0
1325YKMULTI-4XL,25.0,7.0,8.0,0.0,0.0,8.0,33.0,0,0
1325YKMULTI-5XL,6.0,5.0,18.0,0.0,0.0,21.0,27.0,3,0
1325YKMULTI-6XL,43.0,3.0,5.0,0.0,0.0,6.0,49.0,0,1
1325YKMULTI-7XL,3.0,3.0,3.0,0.0,0.0,5.0,8.0,2,0
1325YKMULTI-8XL,17.0,3.0,4.0,0.0,4.0,8.0,25.0,0,0
1325YKMULTI-L,41.0,4.0,6.0,0.0,0.0,10.0,51.0,0,4
1325YKMULTI-M,36.0,4.0,3.0,0.0,0.0,10.0,46.0,0,7
1325YKMULTI-S,24.0,2.0,2.0,0.0,0.0,2.0,26.0,0,0
1325YKMULTI-XL,18.0,5.0,4.0,0.0,0.0,4.0,22.0,0,0
1325YKMULTI-XS,5.0,3.0,0.0,0.0,0.0,0.0,5.0,0,0
1325YKMULTI-XXL,26.0,8.0,3.0,1.0,5.0,18.0,44.0,0,9
1326YKBLUE-L,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
1326YKBLUE-XL,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
1327YKMULTI-L,26.0,7.0,4.0,0.0,0.0,6.0,32.0,2,0
1327YKMULTI-M,14.0,5.0,4.0,0.0,0.0,4.0,18.0,0,0
1327YKMULTI-S,8.0,3.0,2.0,0.0,0.0,4.0,12.0,2,0
1327YKMULTI-XL,28.0,7.0,7.0,0.0,0.0,7.0,35.0,0,0
1327YKMULTI-XS,5.0,3.0,0.0,0.0,0.0,0.0,5.0,0,0
1327YKMULTI-XXL,26.0,7.0,3.0,0.0,0.0,3.0,29.0,0,0
132YK252MUSTARD-S,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
1330YKBLUE-3XL,1.0,1.0,1.0,0.0,1.0,6.0,7.0,4,0
1330YKBLUE-4XL,7.0,7.0,12.0,0.0,0.0,18.0,25.0,6,0
1330YKBLUE-5XL,8.0,6.0,28.0,0.0,0.0,28.0,36.0,0,0
1330YKBLUE-6XL,10.0,5.0,3.0,0.0,0.0,4.0,14.0,0,1
1330YKBLUE-7XL,8.0,3.0,5.0,0.0,0.0,5.0,13.0,0,0
1330YKBLUE-8XL,8.0,6.0,25.0,0.0,0.0,25.0,33.0,0,0
1330YKBLUE-L,3.0,3.0,8.0,5.0,0.0,13.0,16.0,0,0
1330YKBLUE-M,25.0,7.0,0.0,0.0,0.0,0.0,25.0,0,0
1330YKBLUE-S,9.0,3.0,6.0,3.0,0.0,11.0,20.0,2,0
1330YKBLUE-XL,2.0,2.0,3.0,1.0,0.0,10.0,12.0,6,0
1330YKBLUE-XS,11.0,10.0,5.0,4.0,0.0,11.0,22.0,2,0
1330YKBLUE-XXL,7.0,8.0,48.0,0.0,0.0,48.0,55.0,0,0
1331YKORANGE-L,1.0,2.0,1.0,0.0,0.0,3.0,4.0,2,0
1331YKORANGE-M,2.0,0.0,1.0,0.0,0.0,3.0,5.0,2,0
1331YKORANGE-S,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0,0
1331YKORANGE-XL,0.0,0.0,6.0,0.0,0.0,13.0,13.0,7,0
1331YKORANGE-XS,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
1331YKORANGE-XXL,0.0,0.0,2.0,0.0,0.0,4.0,4.0,2,0
1332YKKHAKI-3XL,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
1332YKKHAKI-4XL,1.0,1.0,1.0,0.0,0.0,3.0,4.0,2,0
1332YKKHAKI-5XL,2.0,1.0,13.0,0.0,0.0,18.0,20.0,5,0
1332YKKHAKI-6XL,6.0,1.0,13.0,0.0,0.0,16.0,22.0,3,0
1332YKKHAKI-7XL,10.0,4.0,0.0,0.0,0.0,0.0,10.0,0,0
1332YKKHAKI-8XL,3.0,1.0,1.0,0.0,0.0,3.0,6.0,2,0
1332YKKHAKI-L,6.0,5.0,4.0,0.0,0.0,4.0,10.0,0,0
1332YKKHAKI-M,19.0,6.0,3.0,0.0,0.0,3.0,22.0,0,0
1332YKKHAKI-S,11.0,3.0,0.0,0.0,0.0,0.0,11.0,0,0
1332YKKHAKI-XL,32.0,5.0,3.0,0.0,0.0,3.0,35.0,0,0
1332YKKHAKI-XS,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
1332YKKHAKI-XXL,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0,0
1333YKBLUE-M,5.0,3.0,0.0,0.0,0.0,0.0,5.0,0,0
1333YKBLUE-S,13.0,4.0,0.0,0.0,0.0,0.0,13.0,0,0
1334YKWHITE-L,28.0,6.0,2.0,0.0,0.0,2.0,30.0,0,0
1334YKWHITE-M,31.0,9.0,1.0,0.0,0.0,1.0,32.0,0,0
1334YKWHITE-S,9.0,3.0,0.0,0.0,0.0,0.0,9.0,0,0
1334YKWHITE-XL,11.0,3.0,0.0,0.0,0.0,0.0,11.0,0,0
1334YKWHITE-XXL,6.0,4.0,0.0,0.0,0.0,0.0,6.0,0,0
1335YKGREEN-3XL,5.0,1.0,0.0,0.0,0.0,0.0,5.0,0,0
1335YKGREEN-S,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
1336YKBLACK-3XL,11.0,3.0,9.0,0.0,0.0,15.0,26.0,6,0
1336YKBLACK-4XL,9.0,4.0,9.0,0.0,0.0,9.0,18.0,0,0
1336YKBLACK-5XL,34.0,6.0,9.0,0.0,0.0,9.0,43.0,0,0
1336YKBLACK-6XL,24.0,5.0,4.0,0.0,0.0,8.0,32.0,4,0
1336YKBLACK-7XL,29.0,2.0,4.0,0.0,0.0,4.0,33.0,0,0
1336YKBLACK-8XL,18.0,3.0,1.0,0.0,0.0,1.0,19.0,0,0
1336YKBLACK-L,26.0,5.0,19.0,0.0,0.0,29.0,55.0,10,0
1336YKBLACK-M,13.0,5.0,11.0,0.0,3.0,20.0,33.0,6,0
1336YKBLACK-S,38.0,3.0,3.0,0.0,0.0,3.0,41.0,0,0
1336YKBLACK-XL,25.0,7.0,30.0,0.0,0.0,38.0,63.0,8,0
1336YKBLACK-XS,5.0,2.0,2.0,0.0,0.0,2.0,7.0,0,0
1336YKBLACK-XXL,57.0,5.0,21.0,0.0,0.0,29.0,86.0,8,0
1337YKRED-3XL,1.0,0.0,6.0,0.0,0.0,8.0,9.0,2,0
1337YKRED-4XL,4.0,3.0,4.0,0.0,0.0,4.0,8.0,0,0
1337YKRED-5XL,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0,0
1337YKRED-8XL,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0,0
1337YKRED-L,5.0,3.0,2.0,0.0,0.0,2.0,7.0,0,0
1337YKRED-M,9.0,4.0,1.0,0.0,0.0,1.0,10.0,0,0
1337YKRED-S,7.0,3.0,0.0,0.0,0.0,0.0,7.0,0,0
1337YKRED-XL,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
1337YKRED-XS,7.0,3.0,0.0,0.0,0.0,0.0,7.0,0,0
1337YKRED-XXL,2.0,2.0,1.0,0.0,0.0,1.0,3.0,0,0
1338YKBLACK-3XL,31.0,8.0,28.0,0.0,0.0,40.0,71.0,0,12
1338YKBLACK-4XL,17.0,4.0,12.0,0.0,0.0,32.0,49.0,2,18
1338YKBLACK-5XL,30.0,10.0,27.0,0.0,0.0,40.0,70.0,0,13
1338YKBLACK-6XL,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0,0
1338YKBLACK-7XL,11.0,4.0,7.0,0.0,0.0,35.0,46.0,4,24
1338YKBLACK-8XL,12.0,5.0,4.0,0.0,0.0,30.0,42.0,2,24
1338YKBLACK-L,30.0,5.0,8.0,0.0,0.0,17.0,47.0,0,9
1338YKBLACK-M,54.0,6.0,6.0,0.0,0.0,6.0,60.0,0,0
1338YKBLACK-S,9.0,4.0,9.0,0.0,0.0,9.0,18.0,0,0
1338YKBLACK-XL,12.0,5.0,6.0,0.0,0.0,18.0,30.0,0,12
1338YKBLACK-XS,6.0,3.0,0.0,0.0,0.0,0.0,6.0,0,0
1338YKBLACK-XXL,45.0,11.0,29.0,0.0,0.0,29.0,74.0,0,0
1340YKMULTI-3XL,30.0,7.0,7.0,0.0,0.0,7.0,37.0,0,0
1340YKMULTI-4XL,63.0,8.0,8.0,0.0,0.0,8.0,71.0,0,0
1340YKMULTI-5XL,5.0,4.0,16.0,0.0,0.0,23.0,28.0,7,0
1340YKMULTI-L,66.0,5.0,3.0,0.0,0.0,3.0,69.0,0,0
1340YKMULTI-M,33.0,7.0,4.0,0.0,0.0,4.0,37.0,0,0
1340YKMULTI-S,43.0,4.0,1.0,0.0,0.0,1.0,44.0,0,0
1340YKMULTI-XL,89.0,7.0,5.0,0.0,0.0,7.0,96.0,2,0
1340YKMULTI-XS,15.0,5.0,1.0,0.0,0.0,1.0,16.0,0,0
1340YKMULTI-XXL,32.0,8.0,20.0,0.0,0.0,20.0,52.0,0,0
1341YKGREEN-3XL,49.0,5.0,20.0,0.0,0.0,24.0,73.0,4,0
1341YKGREEN-4XL,30.0,3.0,22.0,0.0,0.0,34.0,64.0,12,0
1341YKGREEN-5XL,48.0,3.0,13.0,0.0,0.0,19.0,67.0,6,0
1341YKGREEN-6XL,29.0,3.0,9.0,0.0,0.0,13.0,42.0,4,0
1341YKGREEN-7XL,34.0,4.0,0.0,0.0,0.0,0.0,34.0,0,0
1341YKGREEN-8XL,35.0,4.0,9.0,0.0,0.0,13.0,48.0,4,0
1341YKGREEN-L,58.0,10.0,12.0,2.0,0.0,14.0,72.0,0,0
1341YKGREEN-M,28.0,6.0,12.0,3.0,0.0,15.0,43.0,0,0
1341YKGREEN-S,30.0,6.0,4.0,0.0,0.0,4.0,34.0,0,0
1341YKGREEN-XL,26.0,7.0,15.0,2.0,0.0,27.0,53.0,10,0
1341YKGREEN-XS,27.0,4.0,1.0,0.0,0.0,1.0,28.0,0,0
1341YKGREEN-XXL,40.0,8.0,15.0,0.0,0.0,21.0,61.0,6,0
1343YKBLUE-3XL,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0,0
1343YKBLUE-4XL,4.0,4.0,1.0,0.0,0.0,1.0,5.0,0,0
1343YKBLUE-5XL,5.0,4.0,1.0,0.0,0.0,1.0,6.0,0,0
1343YKBLUE-6XL,8.0,3.0,1.0,0.0,0.0,1.0,9.0,0,0
1343YKBLUE-7XL,16.0,2.0,2.0,0.0,0.0,4.0,20.0,2,0
1343YKBLUE-8XL,13.0,4.0,0.0,0.0,0.0,0.0,13.0,0,0
1343YKBLUE-L,11.0,5.0,6.0,0.0,0.0,6.0,17.0,0,0
1343YKBLUE-M,20.0,6.0,3.0,0.0,0.0,3.0,23.0,0,0
1343YKBLUE-S,11.0,6.0,0.0,0.0,0.0,0.0,11.0,0,0
1343YKBLUE-XL,6.0,3.0,1.0,0.0,0.0,1.0,7.0,0,0
1343YKBLUE-XS,21.0,6.0,1.0,0.0,0.0,1.0,22.0,0,0
1343YKBLUE-XXL,4.0,4.0,1.0,0.0,0.0,1.0,5.0,0,0
1344YKMAROON-S,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0,0
1347YKPINK-L,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
1347YKPINK-M,2.0,2.0,1.0,0.0,0.0,1.0,3.0,0,0
1347YKPINK-S,11.0,6.0,3.0,0.0,0.0,3.0,14.0,0,0
1347YKPINK-XL,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
1347YKPINK-XXL,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
1348YKMULTI-3XL,11.0,0.0,0.0,0.0,0.0,0.0,11.0,0,0
1348YKMULTI-L,15.0,7.0,43.0,5.0,0.0,48.0,63.0,0,0
1348YKMULTI-M,12.0,7.0,55.0,1.0,0.0,56.0,68.0,0,0
1348YKMULTI-S,3.0,3.0,12.0,1.0,0.0,15.0,18.0,2,0
1348YKMULTI-XL,1.0,0.0,20.0,4.0,0.0,43.0,44.0,19,0
1348YKMULTI-XS,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0,0
1348YKMULTI-XXL,98.0,10.0,52.0,7.0,0.0,59.0,157.0,0,0
1349YKMUSTARD-L,13.0,5.0,6.0,0.0,0.0,6.0,19.0,0,0
1349YKMUSTARD-M,33.0,6.0,1.0,0.0,0.0,1.0,34.0,0,0
1349YKMUSTARD-S,21.0,6.0,1.0,0.0,0.0,1.0,22.0,0,0
1349YKMUSTARD-XL,7.0,3.0,1.0,0.0,0.0,1.0,8.0,0,0
1349YKMUSTARD-XS,5.0,3.0,0.0,0.0,0.0,0.0,5.0,0,0
1349YKMUSTARD-XXL,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
1350YKMUSTARD-3XL,2.0,2.0,1.0,0.0,0.0,1.0,3.0,0,0
1350YKMUSTARD-4XL,0.0,0.0,4.0,0.0,0.0,8.0,8.0,4,0
1350YKMUSTARD-5XL,5.0,5.0,1.0,0.0,0.0,1.0,6.0,0,0
1350YKMUSTARD-L,3.0,3.0,1.0,0.0,0.0,3.0,6.0,2,0
1350YKMUSTARD-M,6.0,2.0,0.0,0.0,0.0,0.0,6.0,0,0
1350YKMUSTARD-S,13.0,4.0,0.0,0.0,0.0,0.0,13.0,0,0
1350YKMUSTARD-XXL,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0,0
1351YKBLUE-3XL,8.0,5.0,5.0,0.0,0.0,5.0,13.0,0,0
1351YKBLUE-4XL,44.0,8.0,4.0,0.0,0.0,4.0,48.0,0,0
1351YKBLUE-5XL,2.0,1.0,9.0,0.0,0.0,11.0,13.0,2,0
1351YKBLUE-L,16.0,7.0,8.0,0.0,0.0,8.0,24.0,0,0
1351YKBLUE-M,86.0,9.0,10.0,0.0,0.0,10.0,96.0,0,0
1351YKBLUE-S,25.0,4.0,6.0,0.0,1.0,7.0,32.0,0,0
1351YKBLUE-XL,9.0,7.0,14.0,0.0,0.0,14.0,23.0,0,0
1351YKBLUE-XS,7.0,3.0,1.0,0.0,0.0,1.0,8.0,0,0
1351YKBLUE-XXL,166.0,6.0,14.0,0.0,0.0,16.0,182.0,2,0
1352YKBLUE-S,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
1353YKBLACK-3XL,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
1354YKMUSTARD-4XL,4.0,3.0,2.0,0.0,0.0,2.0,6.0,0,0
1354YKMUSTARD-5XL,3.0,2.0,6.0,0.0,0.0,14.0,17.0,8,0
1354YKMUSTARD-6XL,0.0,0.0,2.0,0.0,0.0,4.0,4.0,2,0
1354YKMUSTARD-7XL,4.0,3.0,3.0,0.0,0.0,3.0,7.0,0,0
1354YKMUSTARD-8XL,2.0,2.0,3.0,0.0,0.0,6.0,8.0,3,0
1354YKMUSTARD-L,0.0,0.0,1.0,0.0,0.0,3.0,3.0,2,0
1354YKMUSTARD-M,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0,0
1354YKMUSTARD-S,3.0,2.0,2.0,0.0,0.0,2.0,5.0,0,0
1354YKMUSTARD-XL,1.0,1.0,0.0,0.0,0.0,2.0,3.0,2,0
1354YKMUSTARD-XS,13.0,3.0,3.0,0.0,0.0,3.0,16.0,0,0
1354YKMUSTARD-XXL,1.0,0.0,10.0,0.0,0.0,14.0,15.0,4,0
1355YKTEAL-3XL,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
1355YKTEAL-4XL,2.0,0.0,1.0,0.0,0.0,1.0,3.0,0,0
1355YKTEAL-5XL,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
1355YKTEAL-6XL,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
1355YKTEAL-M,13.0,4.0,2.0,0.0,0.0,2.0,15.0,0,0
1355YKTEAL-S,8.0,3.0,1.0,0.0,0.0,1.0,9.0,0,0
1355YKTEAL-XL,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0,0
1357YKBLACK-M,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
1357YKBLACK-S,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
1357YKBLACK-XL,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
1358YKBLUE-M,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
1358YKBLUE-S,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
1358YKBLUE-XL,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
1359YKGREEN-3XL,13.0,4.0,7.0,0.0,0.0,18.0,31.0,6,5
1359YKGREEN-4XL,11.0,6.0,12.0,0.0,0.0,12.0,23.0,0,0
1359YKGREEN-5XL,32.0,8.0,11.0,1.0,0.0,12.0,44.0,0,0
1359YKGREEN-6XL,22.0,4.0,5.0,0.0,0.0,5.0,27.0,0,0
1359YKGREEN-7XL,13.0,4.0,5.0,2.0,0.0,7.0,20.0,0,0
1359YKGREEN-8XL,4.0,3.0,6.0,0.0,0.0,8.0,12.0,2,0
1359YKGREEN-L,25.0,6.0,7.0,0.0,0.0,7.0,32.0,0,0
1359YKGREEN-M,26.0,9.0,3.0,0.0,0.0,3.0,29.0,0,0
1359YKGREEN-S,10.0,5.0,1.0,0.0,0.0,1.0,11.0,0,0
1359YKGREEN-XL,20.0,6.0,8.0,0.0,0.0,8.0,28.0,0,0
1359YKGREEN-XS,9.0,2.0,2.0,0.0,0.0,2.0,11.0,0,0
1359YKGREEN-XXL,16.0,12.0,14.0,0.0,0.0,14.0,30.0,0,0
1360YKBLUE-S,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0,0
1361YKBLUE-3XL,5.0,3.0,24.0,0.0,0.0,51.0,56.0,8,19
1361YKBLUE-4XL,10.0,5.0,1.0,0.0,0.0,18.0,28.0,2,15
1361YKBLUE-5XL,22.0,21.0,0.0,0.0,0.0,25.0,47.0,2,23
1361YKBLUE-L,7.0,8.0,67.0,0.0,0.0,142.0,149.0,6,69
1361YKBLUE-M,9.0,9.0,80.0,2.0,0.0,144.0,153.0,16,46
1361YKBLUE-S,10.0,6.0,37.0,0.0,0.0,75.0,85.0,4,34
1361YKBLUE-XL,3.0,3.0,26.0,0.0,0.0,49.0,52.0,12,11
1361YKBLUE-XS,25.0,24.0,9.0,0.0,0.0,43.0,68.0,0,34
1361YKBLUE-XXL,3.0,3.0,45.0,1.0,0.0,89.0,92.0,0,43
1362YKBLACK-3XL,2.0,2.0,6.0,0.0,0.0,12.0,14.0,6,0
1362YKBLACK-4XL,2.0,0.0,8.0,0.0,0.0,11.0,13.0,2,1
1362YKBLACK-5XL,0.0,0.0,3.0,0.0,0.0,5.0,5.0,2,0
1362YKBLACK-6XL,10.0,4.0,0.0,0.0,0.0,0.0,10.0,0,0
1362YKBLACK-7XL,27.0,4.0,2.0,0.0,0.0,2.0,29.0,0,0
1362YKBLACK-8XL,3.0,3.0,1.0,0.0,0.0,1.0,4.0,0,0
1362YKBLACK-L,59.0,7.0,13.0,0.0,0.0,17.0,76.0,4,0
1362YKBLACK-M,0.0,0.0,2.0,0.0,0.0,5.0,5.0,2,1
1362YKBLACK-S,2.0,1.0,5.0,0.0,0.0,7.0,9.0,2,0
1362YKBLACK-XL,137.0,9.0,12.0,2.0,0.0,19.0,156.0,4,1
1362YKBLACK-XXL,2.0,1.0,3.0,0.0,0.0,5.0,7.0,2,0
1363YKBROWN-L,29.0,8.0,3.0,0.0,0.0,3.0,32.0,0,0
1363YKBROWN-M,46.0,7.0,2.0,0.0,0.0,2.0,48.0,0,0
1363YKBROWN-S,36.0,15.0,2.0,0.0,0.0,2.0,38.0,0,0
1363YKBROWN-XL,4.0,4.0,1.0,0.0,0.0,1.0,5.0,0,0
1363YKBROWN-XXL,4.0,4.0,0.0,0.0,0.0,0.0,4.0,0,0
1364YKBROWN-3XL,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
1364YKBROWN-L,13.0,7.0,1.0,0.0,0.0,1.0,14.0,0,0
1364YKBROWN-M,40.0,10.0,4.0,0.0,0.0,4.0,44.0,0,0
1364YKBROWN-S,8.0,6.0,1.0,0.0,0.0,1.0,9.0,0,0
1364YKBROWN-XL,7.0,6.0,1.0,0.0,0.0,1.0,8.0,0,0
1364YKBROWN-XS,5.0,2.0,0.0,0.0,0.0,0.0,5.0,0,0
1364YKBROWN-XXL,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0,0
1365YKMAROON-L,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
1365YKMAROON-M,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
1366YKORANGE-3XL,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
1366YKORANGE-XL,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
1367YKBLUE-3XL,5.0,2.0,0.0,0.0,0.0,0.0,5.0,0,0
1367YKBLUE-4XL,6.0,6.0,4.0,0.0,0.0,4.0,10.0,0,0
1367YKBLUE-5XL,3.0,3.0,1.0,0.0,0.0,1.0,4.0,0,0
1367YKBLUE-6XL,10.0,4.0,3.0,0.0,0.0,3.0,13.0,0,0
1367YKBLUE-7XL,4.0,3.0,0.0,0.0,0.0,0.0,4.0,0,0
1367YKBLUE-8XL,11.0,3.0,2.0,0.0,0.0,2.0,13.0,0,0
1367YKBLUE-L,11.0,3.0,2.0,0.0,0.0,2.0,13.0,0,0
1367YKBLUE-M,5.0,3.0,1.0,0.0,0.0,1.0,6.0,0,0
1367YKBLUE-S,28.0,3.0,1.0,0.0,0.0,1.0,29.0,0,0
1367YKBLUE-XL,7.0,4.0,3.0,0.0,0.0,3.0,10.0,0,0
1367YKBLUE-XXL,0.0,0.0,7.0,0.0,0.0,13.0,13.0,6,0
1368YKWHITE-3XL,23.0,5.0,8.0,0.0,0.0,8.0,31.0,0,0
1368YKWHITE-4XL,29.0,5.0,11.0,0.0,0.0,11.0,40.0,0,0
1368YKWHITE-5XL,7.0,3.0,7.0,0.0,0.0,11.0,18.0,4,0
1368YKWHITE-6XL,4.0,3.0,1.0,0.0,0.0,3.0,7.0,2,0
1368YKWHITE-7XL,5.0,3.0,4.0,0.0,0.0,4.0,9.0,0,0
1368YKWHITE-8XL,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
1368YKWHITE-L,13.0,3.0,2.0,0.0,0.0,2.0,15.0,0,0
1368YKWHITE-M,79.0,8.0,2.0,0.0,0.0,2.0,81.0,0,0
1368YKWHITE-S,93.0,8.0,1.0,0.0,0.0,1.0,94.0,0,0
1368YKWHITE-XL,114.0,6.0,5.0,0.0,0.0,5.0,119.0,0,0
1368YKWHITE-XS,8.0,4.0,3.0,0.0,0.0,3.0,11.0,0,0
1368YKWHITE-XXL,52.0,6.0,10.0,0.0,0.0,10.0,62.0,0,0
1369YKMAROON-3XL,4.0,2.0,0.0,0.0,0.0,0.0,4.0,0,0
1369YKMAROON-4XL,5.0,4.0,1.0,0.0,0.0,1.0,6.0,0,0
1369YKMAROON-5XL,12.0,3.0,1.0,0.0,0.0,1.0,13.0,0,0
1369YKMAROON-6XL,12.0,5.0,1.0,0.0,0.0,1.0,13.0,0,0
1369YKMAROON-7XL,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0,0
1369YKMAROON-8XL,7.0,3.0,2.0,0.0,0.0,2.0,9.0,0,0
1369YKMAROON-L,4.0,3.0,0.0,0.0,0.0,0.0,4.0,0,0
1369YKMAROON-M,3.0,3.0,0.0,0.0,0.0,0.0,3.0,0,0
1369YKMAROON-S,5.0,2.0,0.0,0.0,0.0,0.0,5.0,0,0
1369YKMAROON-XL,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0,0
1369YKMAROON-XXL,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
1370YKMAROON-3XL,1.0,2.0,12.0,2.0,0.0,19.0,20.0,5,0
1370YKMAROON-4XL,10.0,8.0,15.0,2.0,1.0,18.0,28.0,0,0
1370YKMAROON-5XL,5.0,4.0,3.0,0.0,0.0,9.0,14.0,6,0
1370YKMAROON-6XL,5.0,4.0,0.0,2.0,0.0,2.0,7.0,0,0
1370YKMAROON-7XL,4.0,3.0,0.0,3.0,0.0,3.0,7.0,0,0
1370YKMAROON-8XL,14.0,4.0,1.0,3.0,0.0,4.0,18.0,0,0
1370YKMAROON-L,4.0,4.0,11.0,0.0,0.0,11.0,15.0,0,0
1370YKMAROON-M,10.0,2.0,4.0,0.0,0.0,4.0,14.0,0,0
1370YKMAROON-S,16.0,5.0,2.0,0.0,0.0,2.0,18.0,0,0
1370YKMAROON-XL,5.0,4.0,4.0,0.0,0.0,6.0,11.0,2,0
1370YKMAROON-XS,13.0,3.0,0.0,0.0,0.0,0.0,13.0,0,0
1370YKMAROON-XXL,7.0,6.0,6.0,0.0,0.0,6.0,13.0,0,0
1371YKMULTI-M,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0,0
1371YKMULTI-S,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
1371YKMULTI-XL,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
1372YKBLACK-5XL,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0
1372YKBLACK-L,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
1372YKBLACK-M,2.0,2.0,1.0,0.0,0.0,1.0,3.0,0,0
1372YKBLACK-S,4.0,2.0,1.0,0.0,0.0,1.0,5.0,0,0
1372YKBLACK-XS,4.0,2.0,0.0,0.0,0.0,0.0,4.0,0,0
