"Warehouse Id","SKU","Title","Listing Id","FSN","Brand","Flipkart Selling Price","Live on Website","Sales 7D","Sales 14D","Sales 30D","Sales 60D","Sales 90D","B2B Scheduled","Transfers Scheduled","B2B Shipped","Transfers Shipped","B2B Receiving","Transfers Receiving","Reserved for Orders and Recalls","Reserved for Internal Processing","Returns Processing","Orders to Dispatch","Recalls to Dispatch","Damaged","QC Reject","Catalog Reject","Returns Reject","Seller Return Reject","Miscellaneous","Length (in cm)","Breadth (in cm)","Height (in cm)","Weight (in kg)","Fulfilment Type","F Assured Badge"
malur_bts,6018SKDYELLOW-5XL,IKRASS Women Kurta Palazzo Dupatta Set,LSTETHHGQUM3EHQ4BJHXVNZ03,ETHHGQUM3EHQ4BJH,IKRASS,998.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.643574,24.156924,0.958342,0.0544,"Smart/Flipkart, Seller",No
bhi_vas_wh_nl_01nl,6017SKDRED-3XL,IKRASS Women Kurta Palazzo Dupatta Set,LSTETHHGQUMYCUZR29GLIYI9C,ETHHGQUMYCUZR29G,IKRASS,998.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,28.648914,24.156924,0.544068,0.0433,"Smart/Flipkart, Seller",Yes
malur_bts,6017SKDRED-S,IKRASS Women Kurta Palazzo Dupatta Set,LSTETHHGQUMA2CHS8P5RMATBR,ETHHGQUMA2CHS8P5,IKRASS,967.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.44393,25.055322,3.294126,0.513,"Smart/Flipkart, Seller",Yes
malur_bts,4018DRSBLUE-S,IKRASS Casual Printed Women Blue Top,LSTTOPHEYK5Q9DEEEUPYIXND9,TOPHEYK5Q9DEEEUP,IKRASS,445.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.641794000000004,27.650694,2.795016,0.076,"Smart/Flipkart, Seller",Yes
bhi_vas_wh_nl_01nl,165YK251MUSTRAD-XXL,IKRASS Women Solid Anarkali Kurta,LSTKTAH27SP4P9HKFHDMOUFMJ,KTAH27SP4P9HKFHD,IKRASS,686.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.643574,24.057102,0.958342,0.0544,"Smart/Flipkart, Seller",Yes
bhi_vas_wh_nl_01nl,167YK251BLACK-XS,IKRASS Women Solid Anarkali Kurta,LSTKTAH27SRY9YBZHTK7C50YB,KTAH27SRY9YBZHTK,IKRASS,646.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.447490000000002,20.263866,1.043178,0.0618,Seller,Yes
malur_bts,1625YKBLACK-S,IKRASS Women Kurta Pant Set,LSTETHH34ZSYVMKUZUD25CKET,ETHH34ZSYVMKUZUD,IKRASS,855.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42.025062000000005,30.545532,1.577086,0.2971,"Smart/Flipkart, Seller",No
bhi_vas_wh_nl_01nl,167YK251BLACK-XL,IKRASS Women Solid Anarkali Kurta,LSTKTAH27SSH7ZTM5GFUISZ1V,KTAH27SSH7ZTM5GF,IKRASS,650.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,41.42613,29.547311999999998,1.926082,0.3744,"Smart/Flipkart, Seller",Yes
malur_bts,1412YKMULTI-M,IKRASS Women Kaftan Multicolor Below Knee Dress,LSTDREHCTNHQGZRYQUNLFYDB0,DREHCTNHQGZRYQUN,IKRASS,648.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.93592,26.452830000000002,2.795016,0.282,"Smart/Flipkart, Seller",No
malur_bts,4010DRSMULTI-M,IKRASS Casual Printed Women Multicolor Top,LSTTOPHEYK5HXBYBPJ6WWHRAK,TOPHEYK5HXBYBPJ6,IKRASS,441.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.540192000000005,27.650694,2.0962620000000003,0.084,"Smart/Flipkart, Seller",Yes
