seller id,warehouse id,po_type,seller sku code,sku id,sku code,style id,inventory count,blocked count,sellable inventory count,is active,modified on
36841,43815,SJIT,1048PLYKBLUE-5XL,117458093,YARYTOPS117458093,36730867,1,,0,1,45:24.0
36841,81,SJIT,34637827,34637827,YARYKRTA34637827,9970257,1,,0,1,45:15.0
36841,36,SJIT,46456494,46456494,YARYKRTA46456494,13671670,1,,0,1,13:09.0
36841,36,SJIT,45233513,45233513,YARYKRTA45233513,13001144,1,,0,1,44:47.0
36841,36,SJIT,46456529,46456529,YARYKRTA46456529,13671688,1,,0,1,45:02.0
36841,43815,SJIT,1979YKBLACK-S,129282844,YARYTOPS129282844,40409018,1,,0,1,07:59.0
36841,28,SJIT,5041PLYKBOTTELGREEN-3XL,108504196,YARYTRSR108504196,33596152,1,,0,1,18:59.0
36841,36,SJIT,1417YKBLACK-M,78062380,YARYKRTI78062380,24336838,1,,0,1,37:47.0
36841,31055,SJIT,1516PLYKRED-4XL,72592008,YARYKRTA72592008,22845130,1,,0,1,10:50.0
36841,15774,SJIT,37958324,37958324,YARYTOPS37958324,11008024,1,,0,1,41:15.0
36841,36,SJIT,37958122,37958122,YARYKRTA37958122,11007986,2,,0,1,04:43.0
36841,81,SJIT,1529PLYKNWINE-8XL,98367899,YARYKRTA98367899,30589858,1,,0,1,14:24.0
36841,15774,SJIT,1556PLYKCGREEN-3XL,99185420,YARYKRTI99185420,30817049,1,,0,1,30:40.0
36841,15774,SJIT,1309PLYKNRED-5XL,52048631,YARYKRTI52048631,16605250,2,,0,1,44:45.0
36841,36,SJIT,42649970,42649970,YARYKRTA42649970,12253048,1,,0,1,10:00.0
36841,81,SJIT,45233483,45233483,YARYKRTA45233483,13001132,1,,0,1,49:47.0
36841,15774,SJIT,47061551,47061551,YARYKRTA47061551,13994570,1,,0,1,10:11.0
36841,36,SJIT,47061550,47061550,YARYKRTA47061550,13994570,1,,0,1,10:11.0
36841,15774,SJIT,37958076,37958076,YARYKRTA37958076,11007980,2,,0,1,11:17.0
36841,43815,SJIT,1602PLYKLAVENDER-5XL,82704000,YARYTOPS82704000,25623642,1,,0,1,13:58.0
36841,15774,SJIT,4010DRSMULTI-L,116224670,YARYTOPS116224670,36379854,2,,0,1,46:48.0
36841,28,SJIT,47063117,47063117,YARYTOPS47063117,13995180,1,,0,1,32:06.0
36841,43815,SJIT,46520005,46520005,YARYKRTA46520005,13703536,1,,0,1,52:56.0
36841,28,SJIT,1306YKCORANGE-4XL,69755572,YARYKRTA69755572,22056070,1,,0,1,00:43.0
36841,309,SJIT,37958364,37958364,YARYDRSS37958364,11008030,1,,0,1,14:47.0
36841,36,SJIT,1370PLYKNMAROON-7XL,101189788,YARYKRTA101189788,16605214,1,,0,1,46:13.0
36841,31055,SJIT,1370PLYKNMAROON-8XL,101189789,YARYKRTA101189789,16605214,1,,0,1,21:01.0
36841,28,SJIT,45890428,45890428,YARYKRTA45890428,13369432,3,,0,1,01:36.0
36841,81,SJIT,1057PLYKBLUE-4XL,87896054,YARYTNIC87896054,27282410,1,,0,1,44:48.0
36841,15774,SJIT,46456484,46456484,YARYKRTA46456484,13671664,1,,0,1,28:37.0
36841,28,SJIT,46456529,46456529,YARYKRTA46456529,13671688,1,,0,1,45:02.0
36841,43815,SJIT,1683YKBLUE-M,100672678,YARYKASS100672678,31228609,1,,0,1,33:14.0
36841,36,SJIT,42951388,42951388,YARYKRTA42951388,10613114,1,,0,1,15:13.0
36841,309,SJIT,45233537,45233537,YARYKRTA45233537,13001158,1,,0,1,54:22.0
36841,36,SJIT,1598YKBLUE-M,82705254,YARYKRTA82705254,25623972,1,,0,1,56:53.0
36841,15774,SJIT,36382940,36382940,YARYTOPS36382940,10613118,1,,0,1,02:28.0
36841,36,SJIT,4010DRSMULTI-S,116224667,YARYTOPS116224667,36379854,2,,0,1,05:52.0
36841,15774,SJIT,1417YKBLACK-L,78062378,YARYKRTI78062378,24336838,2,,0,1,12:54.0
36841,15774,SJIT,165PLYKN251MUSTRAD-8XL,120364650,YARYKRTA120364650,37644406,1,,0,1,57:21.0
36841,36,SJIT,1130PLYKNPURPLE-6XL,105612119,YARYKRTA105612119,32764762,1,,0,1,35:49.0
36841,15774,SJIT,1055YKGREEN-XS,98016551,YARYTOPS98016551,11008020,1,,0,1,15:01.0
36841,36,SJIT,1388YKMAROON-M,52437030,YARYKRTI52437030,16834454,1,,0,1,57:35.0
36841,81,SJIT,1883YKPURPLE-L,109829218,YARYKRTA109829218,34008864,1,,0,1,45:37.0
36841,36,SJIT,47203644,47203644,YARYKRTA47203644,14071260,1,,0,1,45:07.0
36841,36,SJIT,1556PLYKNGREEN-8XL,98349769,YARYKRTI98349769,30585365,2,,0,1,18:44.0
36841,15774,SJIT,1309PLYKNRED-4XL,52048630,YARYKRTI52048630,16605250,1,,0,1,28:37.0
36841,28,SJIT,47063121,47063121,YARYTOPS47063121,13995180,1,,0,1,21:32.0
36841,81,SJIT,46456537,46456537,YARYKRTA46456537,13671692,1,,0,1,35:42.0
36841,81,SJIT,1914YKYELLOW-M,119276400,YARYDRSS119276400,37299692,1,,0,1,50:42.0
36841,43815,SJIT,47203659,47203659,YARYKRTA47203659,14071268,1,,0,1,36:36.0
36841,43815,SJIT,37958078,37958078,YARYKRTA37958078,11007980,1,,0,1,06:16.0
36841,309,SJIT,46456486,46456486,YARYKRTA46456486,13671666,1,,0,1,35:59.0
36841,36,SJIT,37958112,37958112,YARYKRTA37958112,11007986,2,,0,1,04:43.0
36841,36,SJIT,1388YKMAROON-XS,103821864,YARYKRTI103821864,16834454,1,,0,1,29:55.0
36841,309,SJIT,46520137,46520137,YARYKRTA46520137,13703536,1,,0,1,40:20.0
36841,15774,SJIT,45890441,45890441,YARYKRTA45890441,13369436,1,,0,1,45:18.0
36841,36,SJIT,37958080,37958080,YARYKRTA37958080,11007980,1,,0,1,11:17.0
36841,36,SJIT,47203654,47203654,YARYKRTA47203654,14071264,1,,0,1,13:03.0
36841,15774,SJIT,1516YKRED-M,72592090,YARYKRTA72592090,22845150,1,,0,1,45:16.0
36841,28,SJIT,44252136,44252136,YARYTRSR44252136,11543230,1,,0,1,44:56.0
36841,28,SJIT,1524PLYKMAROON-XXL,77861848,YARYKRTA77861848,24285848,1,,0,1,09:58.0
36841,15774,SJIT,1520PLYKSKYBLUE-3XL,84713754,YARYDRSS84713754,26211066,1,,0,1,24:37.0
36841,28,SJIT,1920YKYELLOW-L,116222723,YARYKRTI116222723,36379332,1,,0,1,45:08.0
36841,28,SJIT,1547YKBLACK-L,97770454,YARYDRSS97770454,30417882,1,,0,1,24:28.0
36841,15774,SJIT,37957984,37957984,YARYKRTA37957984,11007964,1,,0,1,11:17.0
36841,31055,SJIT,46456495,46456495,YARYKRTA46456495,13671670,1,,0,1,13:09.0
36841,36,SJIT,1529PLYKWINE-3XL,77861858,YARYKRTA77861858,24285852,1,,0,1,19:50.0
36841,81,SJIT,45890425,45890425,YARYKRTA45890425,13369432,1,,0,1,44:29.0
36841,28,SJIT,45233414,45233414,YARYKRTA45233414,13001096,1,,0,1,56:53.0
36841,43815,SJIT,1323PLYKNTEAL-6XL,98367894,YARYKRTA98367894,30589857,1,,0,1,14:12.0
36841,15774,SJIT,46456496,46456496,YARYKRTA46456496,13671670,1,,0,1,13:09.0
36841,28,SJIT,7014YKBLSMAROON-S-M,83458938,YARYSRBL83458938,25830864,1,,0,1,32:24.0
36841,43815,SJIT,37958344,37958344,YARYDRSS37958344,11008030,2,,0,1,14:00.0
36841,15774,SJIT,1918YKYELLOW-M,118950710,YARYKRTI118950710,37188366,1,,0,1,39:34.0
36841,15774,SJIT,40435724,40435724,YARYTRSR40435724,11097732,1,,0,1,45:34.0
36841,36,SJIT,37958082,37958082,YARYKRTA37958082,11007980,1,,0,1,11:17.0
36841,36,SJIT,33872071,33872071,YARYKRTA33872071,9171465,1,,0,1,15:27.0
36841,15774,SJIT,38290056,38290056,YARYTRSR38290056,11097732,1,,0,1,45:44.0
36841,81,SJIT,45233461,45233461,YARYKRTA45233461,13001120,1,,0,1,49:17.0
36841,43815,SJIT,1556YKCGREEN-S,99185399,YARYKRTI99185399,30817042,1,,0,1,42:14.0
36841,36,SJIT,36382924,36382924,YARYKRTA36382924,10613114,1,,0,1,15:13.0
36841,15774,SJIT,1417PLYKBLACK-XXL,56971240,YARYKRTI56971240,18459244,1,,0,1,33:20.0
36841,43815,SJIT,1007PLYKNBLACK-8XL,100490313,YARYKRTA100490313,31179953,1,,0,1,32:40.0
36841,309,SJIT,44252100,44252100,YARYKRTA44252100,11543222,1,,0,1,46:59.0
36841,15774,SJIT,4010DRSMULTI-S,116224667,YARYTOPS116224667,36379854,1,,0,1,00:44.0
36841,81,SJIT,46456538,46456538,YARYKRTA46456538,13671692,1,,0,1,15:34.0
36841,81,SJIT,37958344,37958344,YARYDRSS37958344,11008030,4,,0,1,11:00.0
36841,36,SJIT,37958362,37958362,YARYDRSS37958362,11008030,1,,0,1,46:50.0
36841,15774,SJIT,45233548,45233548,YARYKRTA45233548,13001164,2,,0,1,13:09.0
36841,43815,SJIT,37958392,37958392,YARYKRTA37958392,11008036,1,,0,1,15:55.0
36841,15774,SJIT,40277752,40277752,YARYKRTA40277752,10089303,1,,0,1,06:23.0
36841,81,SJIT,1048YKCBLUE-M,99760636,YARYTOPS99760636,30984033,2,,0,1,14:07.0
36841,28,SJIT,47061546,47061546,YARYKRTA47061546,13994570,2,,0,1,10:11.0
36841,43815,SJIT,5034PLYKOFFWHITE-3XL,95020468,YARYTRSR95020468,29559538,2,,0,1,30:19.0
36841,81,SJIT,1592YKBLUE-S,82078562,YARYKRTA82078562,25451626,1,,0,1,44:57.0
36841,15774,SJIT,47061546,47061546,YARYKRTA47061546,13994570,2,,0,1,10:11.0
