"Reason for Credit Entry","Sub Order No","Catalog ID","Order Date","Order source","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"READY_TO_SHIP","316550837634779584_1","226737357","2026-08-05","","Delhi","IKRASS Women's Cotton Slub Patch Work Angrakha Kurta (Mustard)","165YKC251MUSTRAD","XXL","1","586.0","581.0",
"READY_TO_SHIP","316560754379380928_1","217527323","2026-08-05","","Karnataka","IKRASS Women's Cotton Embroidered Anarkali Kurta (Blue)","1096YKCBLUE","5XL","1","679.0","679.0",
"READY_TO_SHIP","316570397465299392_1","307271572","2026-08-05","","Uttar Pradesh","IKRASS Women's Polyester V-Neck Ruffle Sleeve Digital Printed Tiered Dress for Women (Blue)","1767YKBLUE","M","1","537.0","537.0",
"READY_TO_SHIP","316581365013141888_1","230867236","2026-08-05","","Andhra Pradesh","IKRASS Women?s Wine Striped A-Line Short kurti with Front Button Placket, 3/4 Puff Sleeves & Elastic Waist ? Casual Daywear / Party Dress","1530YKNWINE","5XL","1","420.0","420.0",
"READY_TO_SHIP","316583477625280578_1","102642862","2026-08-05","","Tamil Nadu","IKRASS Women's Floral Placement Printed Short Kurti (Green)","1556YKGREEN","5XL","1","450.0","441.0",
"READY_TO_SHIP","316587841228167234_1","494137","2026-08-05","","West Bengal","IKRASS Women's Attractive Cotton Kurti","1065YKBLUE","M","1","680.0","668.0",
"READY_TO_SHIP","316589157774955264_1","226737357","2026-08-05","","Telangana","IKRASS Women's Cotton Slub Patch Work Angrakha Kurta (Mustard)","165YKC251MUSTRAD","XXXL","1","586.0","581.0",
"READY_TO_SHIP","316600256997218688_1","230867236","2026-08-05","","West Bengal","IKRASS Women?s Navy Blue Striped A-Line Short kurti with Front Button Placket, 3/4 Puff Sleeves & Elastic Waist ? Casual Daywear / Party Dress","1057YKNBLUE","6XL","1","550.0","545.0",
"READY_TO_SHIP","316601835763438336_1","494137","2026-08-05","","Chhattisgarh","IKRASS Women's Attractive Cotton Kurti","1065YKBLUE","M","1","680.0","674.0",
"READY_TO_SHIP","316616879476889796_1","494137","2026-08-05","","Uttar Pradesh","IKRASS Women's Attractive Cotton Kurti","1065YKBLUE","8XL","1","780.0","766.0",
"HOLD","316620221389330752_1","226737357","2026-08-05","","Gujarat","IKRASS Women's Cotton Slub Patch Work Angrakha Kurta (Mustard)","165YKC251MUSTRAD","XXXL","1","586.0","581.0",
"READY_TO_SHIP","316624886256490816_1","666283","2026-08-05","","Tamil Nadu","IKRASS Trendy Women's Top & Tunics, Frock_Top,Kurti_Top","1057YKBLUE_(1)","7XL","1","500.0","490.0",
"READY_TO_SHIP","316627694657525824_1","226281388","2026-08-05","","Telangana","IKRASS Women's Floral Printed Anarkali Kurta with Pants & Dupatta Set (Pink)","1585YKCPINK","6XL","1","970.0","970.0",
"READY_TO_SHIP","316628777568164160_1","245888481","2026-08-05","","West Bengal","IKRASS Women's Pink Polyester Embroidered Anarkali Kurta (Pink)","1548YKCPINK","4XL","1","710.0","710.0",
"READY_TO_SHIP","316629904292436292_1","227050628","2026-08-05","","Rajasthan","IKRASS Women's Floral Printed Embroidered Anarkali Kurti (Pink)","1457YKCPINK","M","1","676.0","676.0",
"READY_TO_SHIP","316630212611463232_1","3543916","2026-08-05","","Uttar Pradesh","IKRASS  Women's Rayon & Cotton Cambric Zig-Zag Printed A-line Kurta (Black)","1112YKBLACK","L","1","561.0","556.0",
