"Customer Shipment Date","Merchant SKU","FNSKU","ASIN","FC","Quantity","Amazon Order Id","Currency","Product Amount","Shipping Amount","Gift Amount","Shipment To City","Shipment To State","Shipment To Postal Code"
"2026-08-05T01:11:47+05:30","5049YKMAROON-4XL","X002HL2YMZ","B0GG9X7HL6","AMD2","1","404-4615535-1637945","INR","541.90","38.10","0.00","Ujjain","MADHYA PRADESH","456010"
"2026-08-05T01:09:55+05:30","1532YKBLUE-M","X001URKC99","B0CGV93PDH","DEL5","1","407-5537632-3615521","INR","446.66","38.10","0.00","GURUGRAM","HARYANA","122001"
"2026-08-05T01:09:47+05:30","1759YKMULTI-M","X002EQGFUP","B0FRY6HSHB","DEL5","1","405-7656634-4904355","INR","751.43","0.00","0.00","INDORE","MADHYA PRADESH","452010"
"2026-08-05T01:08:49+05:30","5041YKBOTTELGREEN-5XL","X002A68LU1","B0F4RJ598L","PNQ3","1","404-9337194-1896315","INR","513.34","38.10","0.00","PIMPRI CHINCHWAD","MAHARASHTRA","412105"
"2026-08-05T01:08:48+05:30","5011YKOWHITE-M","X0014PD0QJ","B0832C4853","LKO1","1","405-1374145-6989138","INR","475.24","38.10","0.00","KANPUR","UTTAR PRADESH","208027"
"2026-08-05T01:06:51+05:30","1417YKBLACK-M","X001V9WRCV","B0CJ2Y65S8","MAA4","1","402-2464153-0812334","INR","541.90","6.03","0.00","CHENNAI","TAMIL NADU","600100"
"2026-08-05T01:05:51+05:30","1362YKBLACK-XL","X001GP8OIB","B09GVJJD8W","BLR8","1","406-0770656-1289959","INR","627.62","0.00","0.00","BENGALURU","KARNATAKA","560034"
"2026-08-05T01:04:48+05:30","1887YKBLACK-5XL","X0028MK82V","B0DXF5HKCM","HYD8","1","402-2717732-2396323","INR","837.14","18.10","0.00","Hyderabad","TELANGANA","500074"
"2026-08-05T01:04:47+05:30","1844YKMULTI-XS","X0027BCK0B","B0DRCJDMKR","AMD2","1","405-8404700-3361164","INR","275.24","56.19","0.00","Navi Mumbai","MAHARASHTRA","400614"
"2026-08-05T01:03:56+05:30","1348YKMULTI-L","X001G4S48R","B09GPBQMZC","BLR7","1","404-4656555-8003536","INR","437.14","0.00","0.00","BENGALURU","KARNATAKA","560091"
"2026-08-05T01:03:47+05:30","1777YKOFFWHITE-L","X0025FLWDP","B0DJR7ZH9J","CCX1","1","407-0861620-0842719","INR","503.80","0.00","0.00","KOLKATA","WEST BENGAL","700004"
"2026-08-05T01:01:48+05:30","1485PLYKMUSTARD-XXL","X001U4F52L","B0CF2HMS4T","BLR7","1","403-8272245-6669104","INR","789.52","18.10","0.00","BENGALURU","KARNATAKA","560093"
"2026-08-05T00:59:52+05:30","1096YKBLUE-XL","X0014I8RFF","B082X7XHGQ","MAA4","1","407-8019247-9022720","INR","722.86","0.00","0.00","CHENNAI","TAMIL NADU","600048"
"2026-08-05T00:59:43+05:30","1412YKMULTI-M","X001PV7ZHR","B0BTVYZZX8","CCX1","1","405-1760228-9067536","INR","608.58","38.10","0.00","UTTAR BAGDOGRA","WEST BENGAL","734014"
"2026-08-05T00:56:43+05:30","1960YKTEAL-4XL","X002GACINH","B0G2JJJ2YT","PNQ3","1","403-0137237-9550754","INR","722.86","0.00","0.00","PUNE","MAHARASHTRA","411032"
"2026-08-05T00:55:46+05:30","1034YKTEAL-XL","X00136L8EP","B07VMN2SGV","DED4","1","171-5266488-8182713","INR","627.62","38.10","0.00","BHUBANESWAR","ODISHA","751024"
"2026-08-05T00:55:12+05:30","8011MWBLUE-L","X002CZPCVV","B0FJ8MHX1N","HYD8","1","407-3486949-5722730","INR","513.34","0.00","0.00","HYDERABAD","TELANGANA","500032"
"2026-08-05T00:55:12+05:30","8010MWMULTI-XL","X002CZTEN3","B0FJ8MRWGM","HYD8","1","407-3486949-5722730","INR","513.34","0.00","0.00","HYDERABAD","TELANGANA","500032"
"2026-08-05T00:53:48+05:30","1556YKGREEN-XL","X001URKCTJ","B0CGV839G5","HYD8","1","403-2817020-3124302","INR","446.66","0.00","0.00","HYDERABAD","TELANGANA","500043"
"2026-08-05T00:51:53+05:30","7006YKBLSBLUE-M","X001WDMDOD","B0CM9LFP4G","BLR7","1","404-6285471-5638722","INR","503.80","0.00","0.00","BENGALURU","KARNATAKA","560085"
"2026-08-05T00:51:53+05:30","1532YKBLUE-XS","X00270XERZ","B0DQ82JNTV","HYD8","1","405-7582741-3803546","INR","446.66","0.00","0.00","HYDERABAD","TELANGANA","500089"
"2026-08-05T00:47:59+05:30","5036YKGREY-XXL","X002I9AGFN","B0GL2J9JPX","BLR7","1","404-6199790-4145947","INR","627.62","0.00","0.00","HYDERABAD","TELANGANA","500078"
"2026-08-05T00:47:50+05:30","AK-228BLACK-5XL","X002F2OTCJ","B0FTMD3QZR","CCX2","1","403-6219103-0618751","INR","475.24","0.00","0.00","VISSANNAPET","ANDHRA PRADESH","521215"
"2026-08-05T00:46:54+05:30","AK-228BLACK-5XL","X002F2OTCJ","B0FTMD3QZR","BLR8","1","405-8731434-4768318","INR","475.24","4.53","0.00","BENGALURU","KARNATAKA","560059"
"2026-08-05T00:46:54+05:30","1943YKGREEN-5XL","X002FQI1FB","B0FXXH38D4","BLR8","1","405-8731434-4768318","INR","475.24","4.53","0.00","BENGALURU","KARNATAKA","560059"
"2026-08-05T00:43:49+05:30","1362YKBLACK-3XL","X001JWNXMN","B09XHYC1MK","MAA4","1","171-6798312-0244313","INR","675.24","0.00","0.00","THIRUVANANTHAPURAM","KERALA","695024"
"2026-08-05T00:41:50+05:30","7099YKBROWN-XL","X002GON60H","B0G4R6R88H","BLR8","1","403-9089775-0394717","INR","418.10","0.00","0.00","MUMBAI","MAHARASHTRA","400101"
"2026-08-05T00:38:53+05:30","1348YKMULTI-M","X001G4S491","B09GP9GCKJ","BOM5","1","408-6167907-6309956","INR","437.14","38.10","0.00","NASHIK","MAHARASHTRA","422003"
"2026-08-05T00:38:47+05:30","1946YKGREEN-3XL","X002GA95J7","B0G2JGR5DM","BLR7","1","404-2740324-7579543","INR","0.00","0.00","0.00","BENGALURU","KARNATAKA","560083"
"2026-08-05T00:37:43+05:30","1362YKBLACK-XXL","X001GP8T8B","B09GVHY2S3","CCX2","1","171-6171905-7593156","INR","675.24","0.00","0.00","Kolkata","WEST BENGAL","700002"
"2026-08-05T00:36:50+05:30","1904YKPINK-XL","X002AWJNUH","B0F887ZD72","CCX2","1","403-3590996-7741127","INR","618.10","0.00","0.00","HOWRAH","WEST BENGAL","711103"
"2026-08-05T00:35:50+05:30","1530YKWINE-L","X001UPFFO3","B0CGNJR9MQ","BLR8","1","405-8876192-3942765","INR","522.86","18.10","0.00","BENGALURU","KARNATAKA","560098"
"2026-08-05T00:32:45+05:30","5015YKMUSTARD-XL","X001ACFGPT","B08CSMGQDB","MAA4","1","402-8287294-4271560","INR","475.24","56.19","0.00","Near style union","Andhrapradesh","520008"
"2026-08-05T00:31:52+05:30","1069YKBLUE-L","X0014KG331","B0833VQJNP","MAA4","1","408-0340732-9682726","INR","418.10","0.00","0.00","CHENNAI","TAMIL NADU","600080"
"2026-08-05T00:29:53+05:30","5005YKBROWN-3XL","X001W0F6GN","B0CL4ZQVZT","BLR7","1","404-7680647-7070701","INR","513.34","9.04","0.00","BENGALURU","KARNATAKA","560100"
"2026-08-05T00:28:53+05:30","5006YKBLUE-4XL","X001W0CV9X","B0CL51CWJD","DED4","1","406-1764268-7462730","INR","513.33","0.00","0.00","LUCKNOW","UTTAR PRADESH","226010"
"2026-08-05T00:28:42+05:30","225YK148OWHTE-XL","X000ZIMNZP","B07J2M42ML","MAA4","1","402-1836745-9433147","INR","799.04","38.10","0.00","CHENNAI","TAMIL NADU","600070"
"2026-08-05T00:27:57+05:30","1023YKPBLUE-XS","X001JLGY75","B09WKG31PN","HYD3","1","405-4158832-2209124","INR","475.24","0.00","0.00","HYDERABAD","TELANGANA","500073"
"2026-08-05T00:23:50+05:30","1557PLYKRED-5XL","X001U4F8B9","B0CF2JL6ZK","BOM7","1","171-1048259-9903539","INR","475.24","0.00","0.00","MUMBAI","MAHARASHTRA","400052"
"2026-08-05T00:22:55+05:30","6012SKDMAROON-5XL","X0029NOZFF","B0F2G3RSVR","HYD8","1","407-0009271-7845958","INR","1113.34","0.00","0.00","HYDERABAD","TELANGANA","500085"
"2026-08-05T00:19:55+05:30","1127YKMAROON-3XL","X0020ZKJ39","B0D3TC543T","HYD8","1","406-9652288-4394760","INR","837.14","18.10","0.00","HYDERABAD","TELANGANA","500049"
"2026-08-05T00:19:52+05:30","4028DRSPINK-XL","X002EMEXNP","B0FRFZJM91","BLR7","1","405-8278532-9345933","INR","475.24","38.10","0.00","KURUVATTUR","KERALA","673012"
"2026-08-05T00:19:03+05:30","4029DRSWHITE-XS","X002FCYI25","B0FW58MBYY","BLR8","1","171-8663965-6353161","INR","446.66","38.10","0.00","Bengaluru","KARNATAKA","560037"
"2026-08-05T00:17:50+05:30","5007YKBLACK-3XL","X001W0CSXH","B0CL4YJCTN","BOM7","1","406-3327753-2279526","INR","513.34","9.04","0.00","Navi Mumbai","MAHARASHTRA","400706"
"2026-08-05T00:14:55+05:30","7101YKGREEN-4XL","X002ISPWN5","B0GPVT523P","CJB1","1","171-8554968-1792306","INR","418.10","38.10","0.00","THRISSUR","KERALA","680002"
"2026-08-05T00:14:46+05:30","1562YKGREEN-XL","X001VF9741","B0CJFNWKJ1","CCX1","1","408-2118869-4689968","INR","522.86","56.19","0.00","MOTIHARI","BIHAR","845401"
"2026-08-05T00:11:49+05:30","1412YKMULTI-XL","X001PV68GB","B0BTVY89D6","BLR8","1","405-3854128-7783525","INR","608.58","0.00","0.00","BENGALURU","KARNATAKA","560068"
"2026-08-05T00:11:47+05:30","5011YKOWHITE-XXL","X0014PEQXZ","B0832PWCS1","BOM5","1","404-9570224-9083542","INR","513.34","0.00","0.00","THANE","MAHARASHTRA","400601"
"2026-08-05T00:10:52+05:30","1556YKGREEN-3XL","X001VG2LWZ","B0CJ2HTR63","PNQ3","1","406-0852337-3728357","INR","475.24","0.00","0.00","PUNE","MAHARASHTRA","411037"
"2026-08-05T00:09:56+05:30","5040YKBEIGE-M","X002B5C8TB","B0F91PW8SG","BLR7","1","404-2849643-3746738","INR","494.28","38.10","0.00","Bengaluru","KARNATAKA","560024"
"2026-08-05T00:09:47+05:30","1556YKGREEN-3XL","X001VG2LWZ","B0CJ2HTR63","DED4","1","404-9500464-8665938","INR","475.24","0.00","0.00","NEW DELHI","DELHI","110018"
"2026-08-05T00:07:50+05:30","1412YKMULTI-M","X001PV7ZHR","B0BTVYZZX8","BLR8","1","402-0485858-3615510","INR","608.58","0.00","0.00","BENGALURU","KARNATAKA","560056"
"2026-08-05T00:06:57+05:30","1180YKYELLOW-XXL","X001FH17ON","B08MTHS7G6","HYD8","1","406-8980390-9985916","INR","532.38","0.00","0.00","HYDERABAD","TELANGANA","500075"
"2026-08-05T00:05:46+05:30","1605YKBLUE-8XL","X0025RV7A1","B0DKNP9YKL","BOM7","1","408-3974533-8941965","INR","799.04","0.00","0.00","NAVI MUMBAI","MAHARASHTRA","400706"
"2026-08-05T00:04:44+05:30","1379YKGREEN-3XL","X001JWUIKD","B09XXGC16P","BOM7","1","171-2126913-3928352","INR","808.58","0.00","0.00","Pimpri Chinchwad","MAHARASHTRA","411033"
"2026-08-05T00:03:48+05:30","1127YKMAROON-4XL","X0020ZP2KJ","B0D3TF419V","LKO1","1","405-4314928-8545169","INR","837.14","38.10","0.00","KANPUR","UTTAR PRADESH","208001"
