"seller id","warehouse id","po_type","store order id","order release id","order line id","seller order id","order id fk","created on","style id","seller sku code","sku id","myntra sku code","size","vendor article number","brand","style name","article type","order status","packet id","seller packe id","courier code","order tracking number","seller warehouse id","cancellation reason id fk","cancellation reason","packed on","fmpu date","inscanned on","shipped on","delivered on","cancelled on","rto creation date","lost date","return creation date","final amount","total mrp","discount","coupon discount","shipping charge","gift charge","tax recovery","city","state","zipcode","seller price"
"36841","59646","PPMP","'133780698076229876503","100264674427","11319409168","eba88666-f2d5-4f55-85f6-88c74b193d76","5975648189","2026-08-05 16:46:49.000","30874403","1112DPT21MULTI-3XL","99384768","YARYKRTA99384768","3XL","1112DPT21MULTI","YASH GALLERY","YASH GALLERY Chevron Printed Mandarin Collar A-Line Kurta With Dupatta","Kurtas","WP",,,"EK_E2E",,"59646",,,,,,,,,,,,"1000.00","5999.00","4999.00","0.00","0.00","0.00","0.00","Sultanpur","UP","228001","906"
"36841","59646","PPMP","'133780374051949350801","100264581534","11319316195","815a42cc-5ff2-4682-8667-d13cd3f24386","5975590308","2026-08-05 15:52:48.000","13001122","45233466","45233466","YARYKRTA45233466","5XL","192PLYK251GREEN","YASH GALLERY","YASH GALLERY Women Plus Size Green Solid Angrakha Anarkali Kurta","Kurtas","WP",,,"flipkartlogistics",,"59646",,,,,,,,,,,,"839.00","2499.00","1660.00","0.00","0.00","0.00","0.00","Varanasi","UP","221005","745"
"36841","59646","PPMP","'133778764563080145703","100264107174","11318841694","cc85a5a8-336c-4796-ae5b-b34f2da90181","5975301901","2026-08-05 11:24:35.000","37371487","6017PLSKDRED-3XL","119482360","YARYKASS119482360","3XL","6017PLSKDRED","YASH GALLERY","YASH GALLERY Women Rayon Kurta Set With Rubber Print  Dupatta Set","Kurta Sets","PK","1000103004347",,"flipkartlogistics","MYSP1447173550","59646",,,"2026-08-05 12:52:15.000","2026-08-05 18:03:05.000",,,,,,,,"1350.00","4999.00","3649.00","65.00","0.00","0.00","0.00","Delhi","DL","110053","1102"
"36841","59646","PPMP","'133778080453385474303","100263926323","11318660649","6fddbb02-8307-437e-83c4-3745032df523","5975196006","2026-08-05 09:30:32.000","37298958","AK-225PINK-XL","119274313","YARYDRSS119274313","XL","AK-225PINK","YASH GALLERY","YASH GALLERY Print Fit & Flare Dress","Dresses","PK","1000103010772",,"flipkartlogistics","MYSP1447175043","59646",,,"2026-08-05 12:56:15.000","2026-08-05 18:03:05.000",,,,,,,,"534.00","2599.00","2065.00","54.00","0.00","0.00","0.00","New Delhi","DL","110096","475"
"36841","59646","PPMP","'133782698328570002403","100265290502","11320025327","1a282296-708b-4fd7-a0d6-2854aed91719","5976028571","2026-08-05 22:20:13.000","13001120","45233460","45233460","YARYKRTA45233460","3XL","224PLYK148BNDJ","YASH GALLERY","YASH GALLERY Women Plus Size Red & Beige Bandhani Print Anarkali Kurta","Kurtas","WP",,,"EK_E2E",,"59646",,,,,,,,,,,,"981.00","1999.00","1018.00","0.00","0.00","0.00","0.00","Bokaro","JH","827006","887"
"36841","59646","PPMP","'133780859161734276201","100264720748","11319455522","d39c3b5e-1d38-4a17-94a7-69b65e374362","5975675966","2026-08-05 17:13:41.000","30818292","1251DPT21MULTI-L","99190337","YARYKRTA99190337","L","1251DPT21MULTI","YASH GALLERY","YASH GALLERY Chevron Printed Mandarin Collar Kurta With Dupatta","Kurtas","WP",,,"flipkartlogistics",,"59646",,,,,,,,,,,,"940.00","4599.00","3659.00","0.00","0.00","0.00","0.00","New Delhi","DL","110066","846"
"36841","59646","PPMP","'133778460465513442801","100264020596","11318755071","27b59aa9-51bd-4ee0-bb3c-ffc771cce35c","5975251471","2026-08-05 10:33:53.000","37371476","1937YKPURPLE-S","119482316","YARYKASS119482316","S","1937YKPURPLE","YASH GALLERY","YASH GALLERY Women Geometric Printed Cotton A-Line Kurta with Trousers","Kurta Sets","PK","1000103005530",,"EK_E2E","MYEC1113876138","59646",,,"2026-08-05 12:53:03.000","2026-08-05 17:00:25.000",,,,,,,,"1063.00","4999.00","3936.00","0.00","0.00","0.00","0.00","Nabarangapur","OR","764070","945"
"36841","59646","PPMP","'133781946438055923001","100265040899","11319775719","f682f705-8498-48a8-820f-ba0c80e19fdd","5975875729","2026-08-05 20:14:52.000","27279488","1548PLYKPINK-3XL","87886040","YARYDRSS87886040","3XL","1548PLYKPINK","YASH GALLERY","YASH GALLERY Plus Size Geometric Printed Shirt Collar Knee Length Fit and Flare Dress","Ethnic Dresses","F",,,"flipkartlogistics",,"59646","44","Ordered By Mistake",,,,,,"2026-08-05 20:16:35.000",,,,"1007.00","4899.00","3892.00","0.00","0.00","0.00","0.00","Mumbai","MH","400030","913"
"36841","28","SJIT","'133779861744397068101","100264430886","11319165436","109201ab-e7c2-49c1-90bc-b13abfc14e9c","5975497806","2026-08-05 14:27:26.000","16605250","1309PLYKNRED-5XL","52048631","YARYKRTI52048631","5XL","1309PLYKNRED","YASH GALLERY","YASH GALLERY Women Red & Blue Ethnic Motifs Printed Anarkali Kurta","Kurtas","SH","1000103277745","1935791223","flipkartlogistics","MYSP1447282935","28",,,"2026-08-05 16:37:25.000",,"2026-08-05 16:41:31.000","2026-08-05 16:47:41.000",,,,,,"893.00","3999.00","3106.00","0.00","0.00","0.00","0.00","New Delhi","DL","110051","799"
"36841","59646","PPMP","'133775123397424666503","100263668929","11318403224","555d91fd-8b6c-4487-8482-9ffb100873f4","5975044325","2026-08-05 01:17:42.000","44246125","4043DRSMULTI-XL","140952496","YARYDRSS140952496","XL","4043DRSMULTI","YASH GALLERY","YASH GALLERY Print A-Line Midi Dress","Dresses","PK","1000102465385",,"flipkartlogistics","MYSC1328928040","59646",,,"2026-08-05 09:30:36.000","2026-08-05 18:03:05.000",,,,,,,,"661.00","2899.00","2238.00","0.00","0.00","0.00","0.00","New Delhi","DL","110015","602"
"36841","59646","PPMP","'133779626942332855903","100264364442","11319098992","9053446e-448b-488a-b447-2180815ec71f","5975456093","2026-08-05 13:48:18.000","40409019","1979PLYKBLACK-3XL","129282849","YARYTOPS129282849","3XL","1979PLYKBLACK","YASH GALLERY","YASH GALLERY Floral Embroidered Cotton Top","Tops","WP",,,"flipkartlogistics",,"59646",,,,,,,,,,,,"615.00","2599.00","1984.00","0.00","0.00","0.00","0.00","New Delhi","DL","110055","556"
"36841","59646","PPMP","'133781002296735796001","100264760712","11319495507","f0b85bb8-3a85-4718-8ccf-9128617f9430","5975700541","2026-08-05 17:37:31.000","37371474","1937PLYKPURPLE-5XL","119482308","YARYKASS119482308","5XL","1937PLYKPURPLE","YASH GALLERY","YASH GALLERY Women Geometric Printed Cotton A-Line Kurta with Trousers","Kurta Sets","WP",,,"Shadowfax",,"59646",,,,,,,,,,,,"1107.00","4999.00","3892.00","0.00","0.00","0.00","0.00","Harur","TN","636903","989"
"36841","59646","PPMP","'133775120438913333103","100263668439","11318402734","acc11795-1429-4045-8536-4adc85dab95d","5975044077","2026-08-05 01:17:12.000","37300050","AK-196GREEN-4XL","119277435","YARYKRTI119277435","4XL","AK-196GREEN","YASH GALLERY","YASH GALLERY Plus Size Printed Keyhole Neck Kurti","Kurtis","PK","1000102417003",,"flipkartlogistics","MYSP1446960361","59646",,,"2026-08-05 09:13:47.000","2026-08-05 18:03:05.000",,,,,,,,"621.00","2999.00","2378.00","0.00","0.00","0.00","0.00","New Delhi","DL","110009","562"
"36841","59646","PPMP","'133781427442549115601","100264883478","11319618296","1d2c084c-0064-4665-982f-288391c9755a","5975776220","2026-08-05 18:48:23.000","31945159","146PLYKN148AZKBLU-7XL","102852512","YARYKRTA102852512","7XL","146PLYKN148AZKBLU","YASH GALLERY","YASH GALLERY Plus Size Floral Printed A-Line Cotton Kurta","Kurtas","WP",,,"flipkartlogistics",,"59646",,,,,,,,,,,,"992.00","2499.00","1507.00","0.00","0.00","0.00","0.00","Kolkata","WB","700051","898"
"36841","59646","PPMP","'133782780736647645303","100265322194","11320057019","c1c4b7e5-dced-4793-87e1-4ac75d655fe1","5976047175","2026-08-05 22:33:55.000","38055737","1961YKBROWN-M","121545632","YARYCOORD121545632","M","1961YKBROWN","YASH GALLERY","YASH GALLERY Printed Top With Trousers Co-Ords","Co-Ords","WP",,,"flipkartlogistics",,"59646",,,,,,,,,,,,"729.00","2999.00","2270.00","0.00","0.00","0.00","0.00","New Delhi","DL","110059","670"
"36841","59646","PPMP","'133775936971003830803","100263740447","11318474742","10b6ff01-68e9-4b03-a8f8-a1237fec72f4","5975082232","2026-08-05 03:33:19.000","30874386","1516PLYKNRED-7XL","99384733","YARYKRTA99384733","7XL","1516PLYKNRED","YASH GALLERY","YASH GALLERY Plus Size Geometric Printed A Line Kurta","Kurtas","SH","1000102460486",,"flipkartlogistics","MYSP1446976236","59646",,,"2026-08-05 09:29:05.000","2026-08-05 18:03:03.000","2026-08-06 01:45:04.000","2026-08-06 01:51:40.000",,,,,,"957.00","3299.00","2342.00","0.00","0.00","0.00","0.00","Hyderabad","TG","502032","863"
"36841","59646","PPMP","'133777413110461806101","100263812057","11318546352","23aa6ad5-61ef-4c2b-9780-e1eb113e705d","5975124973","2026-08-05 07:39:19.000","21839714","1398PLYKGREY-3XL","68935132","YARYKRTI68935132","3XL","1398PLYKGREY","YASH GALLERY","YASH GALLERY Women Grey & Yellow Ethnic Motifs Printed Gotta Patti Anarkali Kurta","Kurtas","PK","1000102453233",,"flipkartlogistics","MYSC1328924824","59646",,,"2026-08-05 09:26:35.000","2026-08-05 18:02:58.000",,,,,,,,"931.00","4699.00","3768.00","0.00","0.00","0.00","0.00","Gautam Buddha Nagar","UP","201304","837"
"36841","59646","PPMP","'133783060537690526301","100265427791","11320162617","5d235d8d-83c6-4e6f-94c6-51ec0d866427","5976107448","2026-08-05 23:20:33.000","44292902","DB_AK-192BLUE-F","141103317","DSBYSHRT141103317","Onesize","DB_AK-192BLUE","DressBerry","DressBerry Women Straight Printed Casual Shirt","Shirts","WP",,,"flipkartlogistics",,"59646",,,,,,,,,,,,"451.00","1749.00","1298.00","0.00","0.00","0.00","0.00","Bavla","GJ","382220","416"
"36841","59646","PPMP","'133782774524040075701","100265319765","11320054589","9b445613-9f55-43fe-bf9d-defcbb44b33a","5976045735","2026-08-05 22:32:54.000","44426814","1996YKMULTI-M","141547444","YARYTOPS141547444","M","1996YKMULTI","YASH GALLERY","YASH GALLERY Print Ethnic Crop Top","Tops","WP",,,"EK_E2E",,"59646",,,,,,,,,,,,"481.00","1999.00","1518.00","0.00","0.00","0.00","0.00","Sohna","HR","122103","446"
"36841","59646","PPMP","'133780704530359962501","100264676372","11319411114","bcb1352c-eb39-4e20-b449-779da25ce784","5975649371","2026-08-05 16:47:54.000","15000306","1330YKBLUE-M","49234515","YARYKRTA49234515","M","1330YKBLUE","YASH GALLERY","YASH GALLERY Women Navy Blue & Maroon Ethnic Motifs Printed Cotton Indigo Kurta","Ethnic Dresses","WP",,,"flipkartlogistics",,"59646",,,,,,,,,,,,"909.00","4399.00","3490.00","0.00","0.00","0.00","0.00","Gurugram","HR","122101","815"
"36841","59646","PPMP","'133778281662036811601","100263973341","11318707790","3a3fd416-0ce0-4457-b7f1-361944a59de0","5975224149","2026-08-05 10:04:05.000","25451624","1592PLYKBLUE-4XL","82078542","YARYKRTA82078542","4XL","1592PLYKBLUE","YASH GALLERY","YASH GALLERY Plus Size Ethnic Motifs Ikat Printed Anarkali Kurta","Kurtas","SH","1000103013445",,"flipkartlogistics","MYSC1329072437","59646",,,"2026-08-05 12:57:49.000","2026-08-05 18:03:01.000","2026-08-06 01:46:53.000","2026-08-06 01:53:07.000",,,,,,"920.00","4599.00","3679.00","34.00","0.00","0.00","0.00","Hyderabad","TG","500070","826"
"36841","59646","PPMP","'133781218171229336803","100264823135","11319557952","fcde9ce0-22c0-4e6e-8c5c-2dbc0d578e43","5975738708","2026-08-05 18:13:30.000","35266974","1055PLYKCGREEN-3XL","113132727","YARYTOPS113132727","3XL","1055PLYKCGREEN","YASH GALLERY","YASH GALLERY Women Mirror Work Regular Top","Tops","WP",,,"flipkartlogistics",,"59646",,,,,,,,,,,,"601.00","2149.00","1548.00","0.00","0.00","0.00","0.00","Bangalore","KA","560017","542"
"36841","59646","PPMP","'133782490693873584001","100265215568","11319950391","ec501c1e-6511-4d37-926f-8d2ee0b83698","5975983726","2026-08-05 21:45:35.000","11008036","37958388","37958388","YARYKRTA37958388","M","167YK251BLACK","YASH GALLERY","YASH GALLERY Women Black Solid A-Line Kurta with Appliques","Kurtas","WP",,,"flipkartlogistics",,"59646",,,,,,,,,,,,"821.00","3749.00","2928.00","0.00","0.00","0.00","0.00","Bangalore","KA","560049","727"
"36841","59646","PPMP","'133775936971003830803","100263740436","11318474731","10b6ff01-68e9-4b03-a8f8-a1237fec72f4","5975082232","2026-08-05 03:33:19.000","30589858","1529PLYKNWINE-7XL","98367897","YARYKRTA98367897","7XL","1529PLYKNWINE","YASH GALLERY","YASH GALLERY Women Floral Printed Anarkali Kurta","Kurtas","SH","1000102460486",,"flipkartlogistics","MYSP1446976236","59646",,,"2026-08-05 09:29:05.000","2026-08-05 18:03:03.000","2026-08-06 01:45:04.000","2026-08-06 01:51:40.000",,,,,,"1067.00","4349.00","3282.00","0.00","0.00","0.00","0.00","Hyderabad","TG","502032","973"
