"Reason for Credit Entry","Sub Order No","Catalog ID","Order Date","Order source","Customer State","Product Name","SKU","Size","Quantity","Supplier Listed Price (Incl. GST + Commission)","Supplier Discounted Price (Incl GST and Commision)","Packet Id"
"READY_TO_SHIP","316592812358552002_1","118225843","2026-08-05","","Karnataka","Yash Gallery Women's Ethnic Motif Notch Brown Kurtis & Kurtas","1407PLYKMULTI","XXXL","1","749.0","742.0",
"READY_TO_SHIP","316592812358552002_2","115410340","2026-08-05","","Karnataka","Yash Gallery Women's Floral Round Blue Kurtis & Kurtas","1323YKTEAL","XXXL","1","739.0","732.0",
"READY_TO_SHIP","316592812358552002_3","162922159","2026-08-05","","Karnataka","YASH GALLERY Women's Rayon Printed Angrakha Style Anarkali Kurta (Black)","241PLYKN287BLACKRAY","XXXL","1","810.0","794.0",
"READY_TO_SHIP","316592812358552002_4","241230374","2026-08-05","","Karnataka","Yash Gallery Women's Cotton Slub Patch Work Angrakha Kurta (Mustard)","165YKN251MUSTRAD","XXXL","1","586.0","576.0",
"READY_TO_SHIP","316597648165230784_1","115960492","2026-08-05","","Telangana","Yash Gallery Women's Solid Surplice Yellow Kurtis & Kurtas","165YK251MUSTRAD","8XL","1","663.0","644.0",
"READY_TO_SHIP","316619935305077504_1","277946567","2026-08-05","","Odisha","Yash Gallery Women?s Lycra Comfortable Stretch Fit V-Neck Elbow Sleeve Saree Blouse","7100YKTEAL","48","1","359.0","356.0",
"READY_TO_SHIP","316627822265096576_1","240903225","2026-08-05","","Delhi","Yash Gallery Women?s Cotton Geometric Printed A-Line Kurta with Pants Set (Green)","1946YKGREEN","5XL","1","849.0","841.0",
"READY_TO_SHIP","316631042819414208_1","115960492","2026-08-05","","Andhra Pradesh","Yash Gallery Women's Solid Surplice Yellow Kurtis & Kurtas","165YK251MUSTRAD","4XL","1","586.0","570.0",
"READY_TO_SHIP","316631792068909248_1","132476747","2026-08-05","","Uttar Pradesh","YASH GALLERY Women's Rayon Floral Printed Anarkali Kurti (Green)","1379PLYKCGREEN","XXXL","1","739.0","739.0",
"READY_TO_SHIP","316634592684722624_1","179172622","2026-08-05","","Delhi","Yash Gallery Women's Cotton Floral Printed Short Kurti (Brown)","AK-139BROWN","5XL","1","460.0","451.0",
"READY_TO_SHIP","316637417846921280_1","125744777","2026-08-05","","Uttarakhand","Yash Gallery Women's Embellished Round Neck Red Blouses","7053YKBLS","L","1","460.0","460.0",
"READY_TO_SHIP","316639418051778625_1","132474033","2026-08-05","","Karnataka","Yash Gallery Women's Cotton Slub Angrakha Style Anarkali Kurta (Teal)","315YKC251TEAL","L","1","539.0","534.0",
